Table with column headers in row 5 and row headers in column A,,,,
Table 3. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Arizona:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,6033147,321,574452,7168
Speak only English at home,4416957,10221,(X),(X)
Speak a language other than English at home,1616190,10218,574452,7168
SPANISH AND SPANISH CREOLE,1230732,7873,458851,6274
..Spanish,1230730,7873,458850,6274
OTHER INDO-EUROPEAN LANGUAGES,123220,3926,27453,1697
".French (incl. Patois, Cajun)",16511,1118,3118,432
..French,16480,1119,3120,432
..Patois,30,29,(B),--
.French Creole,756,313,213,197
.Italian,7901,792,1662,278
.Portuguese (incl. Portuguese Creole),4401,725,982,260
..Portuguese,4400,725,980,260
.German (incl. Luxembourgian),23063,1449,2831,486
..German,23020,1441,2830,486
..Luxembourgian,40,54,(B),--
.Yiddish,445,175,28,29
.Other West Germanic languages,2725,473,325,122
..Pennsylvania Dutch,45,42,(D),(D)
..Dutch,2145,387,260,113
..Afrikaans,535,248,55,45
.Scandinavian languages,2562,360,214,82
..Swedish,1220,267,105,56
..Danish,445,157,60,49
..Norwegian,865,235,50,42
..Icelandic,30,34,(B),--
.Greek,3043,486,533,190
.Russian,6602,1031,2045,396
.Polish,5844,691,1487,357
.Serbo-Croatian languages,8370,1302,3210,582
..Serbocroatian,4960,973,2000,445
..Croatian,810,271,330,155
..Serbian,2600,650,880,273
.Other Slavic languages,4146,624,1036,291
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,1375,374,375,155
..Czech,905,287,210,134
..Slovak,520,213,135,94
..Bulgarian,1110,369,280,143
..Macedonian,115,132,(B),--
..Slovene,110,72,35,31
.Armenian,1385,488,326,229
.Persian,6111,1063,2051,553
.Hindi,8474,1145,978,293
.Gujarati,3824,601,862,242
.Urdu,2380,591,564,272
.Other Indic languages,7396,1322,2350,547
..India n.e.c.3,455,273,175,125
..Bengali,2185,582,555,186
..Panjabi,2285,566,730,261
..Marathi,1000,392,70,76
..Bihari,45,81,(D),(D)
..Rajasthani,(D),(D),(B),--
..Oriya,75,70,(D),(D)
..Assamese,70,86,(B),--
..Nepali,1085,498,765,398
..Sindhi,(D),(D),(B),--
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,125,95,(D),(D)
..Romany,(D),(D),(B),--
.Other Indo-European languages,7281,987,2638,502
..Jamaican Creole,190,153,(D),(D)
..Krio,40,45,(D),(D)
..Romanian,4210,663,1660,376
..Irish Gaelic,495,174,75,63
..Scottic Gaelic,(D),(D),(B),--
..Albanian,1000,450,510,259
..Lithuanian,400,163,85,68
..Latvian,115,73,(D),(D)
..Pashto,325,322,95,113
..Kurdish,495,311,125,103
..Ossete,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,113544,2598,48706,1846
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",28552,1789,14099,1187
..Chinese,19765,1555,10520,1035
..Hakka,(D),(D),(B),--
..Cantonese,3045,607,1445,367
..Mandarin,5135,743,1875,411
..Formosan,595,208,260,129
..Wu,(D),(D),(B),--
.Japanese,6237,787,2258,394
.Korean,10733,1111,4854,641
".Mon-Khmer, Cambodian",2055,610,823,208
.Hmong,234,222,31,38
.Thai,2492,511,1489,374
.Laotian,1397,444,517,221
.Vietnamese,20608,1762,12751,1219
.Other Asian languages,13533,1528,4310,861
..Kazakh,160,211,150,211
..Kirghiz,25,43,25,43
..Uighur,175,136,125,112
..Turkish,1030,388,290,152
..Mongolian,60,93,60,93
..Tungus,(D),(D),(B),--
..Dravidian,(D),(D),(B),--
..Telugu,4725,902,1125,456
..Kannada,560,199,50,35
..Malayalam,1465,413,315,140
..Tamil,3205,562,515,181
..Munda,(D),(D),(B),--
..Tibetan,85,119,(D),(D)
..Burmese,665,360,480,276
..Karen,1290,430,1110,407
..Mien,(D),(D),(D),(D)
.Tagalog,20664,1476,5672,714
.Other Pacific Island languages,7039,860,1902,414
..Indonesian,965,331,385,200
..Malay,250,181,80,69
..Sundanese,(D),(D),(D),(D)
..Bisayan,435,172,160,115
..Sebuano,400,164,140,93
..Ilocano,530,312,240,166
..Bikol,(D),(D),(B),--
..Pampangan,85,91,(D),(D)
..Carolinian,185,189,120,157
..Chamorro,605,280,210,136
..Marshallese,685,405,175,140
..Palau,155,137,(D),(D)
..Trukese,75,71,(D),(D)
..Yapese,(D),(D),(D),(D)
..Melanesian,125,76,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,1220,486,65,45
..Tongan,790,317,140,101
..Fijian,30,31,(B),--
..Hawaiian,440,160,65,53
ALL OTHER LANGUAGES,148694,3724,39442,1504
.Navajo,83792,1745,20980,955
.Other Native North American languages,26869,1372,3808,459
..Aleut,40,38,(B),--
..Eskimo,(D),(D),(B),--
..Inupik,(D),(D),(D),(D)
..Yupik,(D),(D),(B),--
..Cheyenne,35,37,(D),(D)
..Cree,(D),(D),(B),--
..Ojibwa,25,31,(D),(D)
..Ottawa,20,30,(B),--
..Athapascan,20,20,(B),--
..Ahtena,(D),(D),(B),--
..Hupa,(D),(D),(B),--
..Apache,10700,740,1190,246
..Kiowa,(D),(D),(D),(D)
..Siuslaw,(D),(D),(D),(D)
..Sahaptian,(D),(D),(B),--
..Pomo,(D),(D),(B),--
..Cocomaricopa,30,30,(B),--
..Mohave,90,45,30,28
..Yuma,30,29,(B),--
..Delta River Yuman,325,145,10,10
..Havasupai,50,37,4,10
..Walapai,250,81,4,10
..Yavapai,210,116,15,13
..Hidatsa,(D),(D),(B),--
..Mandan,(D),(D),(D),(D)
..Dakota,300,153,(D),(D)
..Omaha,45,63,(B),--
..Choctaw,45,51,(B),--
..Keres,155,196,(D),(D)
..Mohawk,(D),(D),(B),--
..Cherokee,150,107,(B),--
..Paiute,40,34,(D),(D)
..Southern Paiute,(D),(D),(D),(D)
..Shoshoni,(D),(D),(B),--
..Hopi,5660,736,1525,367
..Pima,6695,700,655,176
..Yaqui,585,242,55,51
..Tewa,155,91,80,68
..Towa,(D),(D),(B),--
..Zuni,160,114,(D),(D)
..American Indian,515,168,60,39
..San Carlos,275,153,30,26
.Hungarian,1499,293,388,141
.Arabic,16865,1851,6719,929
.Hebrew,2705,661,386,194
.African languages,11579,1421,4610,697
..Amharic,2180,574,1180,384
..Berber,35,45,(D),(D)
..Chadic,100,86,(B),--
..Cushite,2285,623,1255,381
..Sudanic,425,316,210,192
..Nilotic,125,167,(B),--
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,1570,552,740,402
..Bantu,1290,532,380,236
..Mande,385,227,135,113
..Fulani,250,186,80,104
"..Kru, Ibo, Yoruba",2500,649,465,225
..Efik,135,108,(D),(D)
..Mbum (and related),(D),(D),(B),--
..African,225,162,125,88
.Other and unspecified languages,5385,1103,2551,656
..Finnish,490,180,65,80
..Estonian,(D),(D),(B),--
..Caucasian,55,64,(D),(D)
..Basque,(D),(D),(B),--
..Syriac,4215,1077,2110,624
..Aztecan,25,34,(D),(D)
..Mayan languages,145,126,95,103
..Oto - Manguen,135,80,95,80
..Quechua,(D),(D),(D),(D)
..Chibchan,60,67,(D),(D)
..Uncodable,205,122,80,81
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US04). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
