Table with column headers in row 5 and row headers in column A,,,,
Table 5. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for California:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,35131429,586,6799270,22260
Speak only English at home,19782598,34163,(X),(X)
Speak a language other than English at home,15348831,34040,6799270,22260
SPANISH AND SPANISH CREOLE,10105424,22961,4539249,16174
..Spanish,10105385,22963,4539250,16174
..Ladino,40,35,(B),--
OTHER INDO-EUROPEAN LANGUAGES,1543211,13369,495598,6553
".French (incl. Patois, Cajun)",126083,3706,18836,1187
..French,124980,3689,18755,1185
..Patois,985,302,35,26
..Cajun,120,82,50,51
.French Creole,6718,862,1300,358
.Italian,62621,2128,12973,729
.Portuguese (incl. Portuguese Creole),79572,3175,25343,1541
..Portuguese,79550,3174,25320,1537
..Papia Mentae,(D),(D),(D),(D)
.German (incl. Luxembourgian),110575,2794,14235,750
..German,110545,2793,14225,748
..Luxembourgian,30,36,(D),(D)
.Yiddish,3272,513,634,188
.Other West Germanic languages,25660,1519,3162,400
..Pennsylvania Dutch,25,27,(B),--
..Dutch,22335,1359,2865,385
..Afrikaans,3075,552,240,107
..Frisian,225,124,60,48
.Scandinavian languages,23859,1601,2476,412
..Swedish,11690,984,1250,322
..Danish,6275,640,665,158
..Norwegian,4915,641,445,188
..Icelandic,980,310,115,73
.Greek,22932,996,4476,454
.Russian,151685,4956,74239,2957
.Polish,19699,1266,5805,647
.Serbo-Croatian languages,22753,1635,6179,700
..Serbocroatian,7285,997,2735,545
..Croatian,7995,997,1735,290
..Serbian,7470,924,1705,402
.Other Slavic languages,33935,2071,14314,1283
..Bielorussian,255,173,200,152
..Ukrainian,17635,1751,9520,1074
..Czech,5490,660,1395,277
..Slovak,1790,433,500,286
..Bulgarian,7755,985,2535,492
..Macedonian,655,255,135,82
..Slovene,360,141,25,21
.Armenian,191928,4930,93415,2794
.Persian,191138,5789,73557,2896
.Hindi,149301,4735,29614,1830
.Gujarati,44917,2616,13367,1112
.Urdu,45609,2723,12779,1244
.Other Indic languages,184194,5406,73097,2802
..India n.e.c.3,7915,1162,2250,463
..Bengali,22790,1775,7890,945
..Panjabi,118870,4739,53335,2179
..Marathi,15450,1413,1865,388
..Bihari,(D),(D),(B),--
..Rajasthani,45,56,(D),(D)
..Oriya,680,261,200,167
..Assamese,190,138,(D),(D)
