Table with column headers in row 5 and row headers in column A,,,,
Table 6. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Colorado:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,4779527,437,312251,4287
Speak only English at home,3976875,7959,(X),(X)
Speak a language other than English at home,802652,7936,312251,4287
SPANISH AND SPANISH CREOLE,565058,6145,230423,3833
..Spanish,565060,6145,230425,3833
OTHER INDO-EUROPEAN LANGUAGES,110342,3234,25041,1398
".French (incl. Patois, Cajun)",16213,1050,2462,433
..French,16045,1032,2460,433
..Patois,165,120,(B),--
..Cajun,(D),(D),(B),--
.French Creole,382,209,106,81
.Italian,5767,725,737,181
.Portuguese (incl. Portuguese Creole),3370,566,695,250
..Portuguese,3360,565,695,250
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),25675,1307,3047,342
..German,25645,1307,3045,342
..Luxembourgian,(D),(D),(B),--
.Yiddish,135,64,15,17
.Other West Germanic languages,3275,589,246,115
..Pennsylvania Dutch,330,226,(D),(D)
..Dutch,2065,345,160,72
..Afrikaans,880,300,70,74
.Scandinavian languages,2881,483,273,104
..Swedish,1600,394,110,60
..Danish,480,159,75,55
..Norwegian,740,227,90,75
..Icelandic,60,58,(B),--
.Greek,1910,367,461,187
.Russian,15124,1565,6279,807
.Polish,5365,649,1175,321
.Serbo-Croatian languages,2531,500,987,225
..Serbocroatian,1680,464,685,204
..Croatian,395,135,90,64
..Serbian,455,166,210,96
.Other Slavic languages,4101,733,1223,354
..Bielorussian,25,22,(D),(D)
..Ukrainian,1280,378,525,207
..Czech,880,256,210,95
..Slovak,540,208,25,26
..Bulgarian,1185,469,420,200
..Macedonian,35,31,(B),--
..Slovene,160,75,(D),(D)
.Armenian,583,236,225,167
.Persian,4090,650,1237,283
.Hindi,4171,563,623,209
.Gujarati,762,256,182,107
.Urdu,1613,492,460,252
.Other Indic languages,7862,1055,3073,718
..India n.e.c.3,500,261,60,41
..Bengali,1350,434,345,123
..Panjabi,1105,446,235,139
..Marathi,730,288,215,204
..Rajasthani,85,130,(D),(D)
..Oriya,55,55,(B),--
..Nepali,3615,831,2095,649
..Sindhi,250,169,(B),--
..Pakistan n.e.c.3,95,139,55,99
..Sinhalese,55,45,(D),(D)
..Romany,(D),(D),(D),(D)
