Table with column headers in row 5 and row headers in column A,,,,
Table 7. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Connecticut:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,3386166,207,283518,4351
Speak only English at home,2658925,5118,(X),(X)
Speak a language other than English at home,727241,5133,283518,4351
SPANISH AND SPANISH CREOLE,371024,3078,156236,3067
..Spanish,371025,3078,156235,3067
OTHER INDO-EUROPEAN LANGUAGES,254783,4336,85770,2798
".French (incl. Patois, Cajun)",34519,1270,7863,806
..French,30575,1248,7435,803
..Patois,3930,705,430,150
..Cajun,(D),(D),(B),--
.French Creole,14081,1277,6073,735
.Italian,36571,1374,10365,797
.Portuguese (incl. Portuguese Creole),37016,2153,16954,1327
..Portuguese,36945,2155,16955,1327
..Papia Mentae,75,87,(B),--
.German (incl. Luxembourgian),11533,807,1451,256
..German,11535,807,1450,256
.Yiddish,353,105,20,23
.Other West Germanic languages,2027,415,175,107
..Dutch,1825,404,170,109
..Afrikaans,205,102,(D),(D)
.Scandinavian languages,2233,352,208,83
..Swedish,1290,253,140,76
..Danish,390,163,25,30
..Norwegian,535,149,45,37
..Icelandic,20,20,(B),--
.Greek,8670,777,2195,351
.Russian,10684,932,4920,527
.Polish,37704,2251,15640,1241
.Serbo-Croatian languages,4160,721,1636,374
..Serbocroatian,2640,541,1050,280
..Croatian,985,412,280,153
..Serbian,535,277,305,198
.Other Slavic languages,4812,651,1552,392
..Ukrainian,2190,468,925,247
..Czech,490,167,40,38
..Slovak,1040,295,275,146
..Bulgarian,480,198,105,107
..Macedonian,440,242,185,179
..Slovene,175,125,20,17
.Armenian,731,220,152,72
.Persian,1488,293,441,144
.Hindi,11430,1173,2561,640
.Gujarati,5647,869,2109,416
.Urdu,6282,1024,2000,573
.Other Indic languages,10873,980,4111,594
..India n.e.c.3,1130,317,245,106
..Bengali,4745,814,2225,551
..Panjabi,1590,401,385,146
..Marathi,885,276,150,107
..Bihari,(D),(D),(B),--
..Oriya,160,132,55,72
..Assamese,60,63,(B),--
..Nepali,1325,412,615,256
..Sindhi,230,255,(D),(D)
..Pakistan n.e.c.3,200,156,140,125
..Sinhalese,455,203,195,106
..Romany,80,92,80,92
.Other Indo-European languages,13969,1310,5344,658
..Jamaican Creole,1600,410,640,237
..Krio,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,1860,414,490,162
..Welsh,35,33,(B),--
..Irish Gaelic,290,101,35,28
..Scottic Gaelic,55,48,(B),--
..Albanian,7430,996,3295,505
..Lithuanian,1420,343,270,112
..Latvian,400,166,130,73
..Pashto,345,276,310,268
..Kurdish,490,313,175,135
ASIAN AND PACIFIC ISLAND LANGUAGES,76859,1952,33934,1456
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",27002,1733,13034,1111
..Chinese,20945,1562,10415,986
..Cantonese,2250,587,1000,393
..Mandarin,3180,560,1350,331
..Fuchow,(D),(D),(D),(D)
..Formosan,500,218,205,114
..Wu,90,84,(D),(D)
.Japanese,3391,606,1550,529
.Korean,6456,802,3449,576
".Mon-Khmer, Cambodian",2456,607,1244,332
.Hmong,9,15,(B),--
.Thai,1401,418,753,322
.Laotian,2981,668,1476,395
.Vietnamese,7735,1192,4840,806
.Other Asian languages,15932,1492,4542,652
..Karachay,(D),(D),(D),(D)
..Uighur,95,111,(D),(D)
..Turkish,2195,457,935,253
..Tungus,(D),(D),(D),(D)
..Dravidian,(D),(D),(B),--
..Gondi,120,129,(B),--
..Telugu,5575,825,1625,401
..Kannada,860,300,(D),(D)
..Malayalam,2395,572,475,200
..Tamil,3745,698,925,324
..Munda,125,122,(B),--
..Tibetan,455,275,230,142
..Burmese,205,133,140,91
..Karen,125,106,125,106
.Tagalog,8539,883,2663,473
.Other Pacific Island languages,957,285,383,151
..Indonesian,235,125,115,86
