Table with column headers in row 5 and row headers in column A,,,,
Table 10. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Florida:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,18014852,540,2107585,14834
Speak only English at home,13070061,15364,(X),(X)
Speak a language other than English at home,4944791,15256,2107585,14834
SPANISH AND SPANISH CREOLE,3640750,9978,1617076,10794
..Spanish,3640735,9979,1617065,10797
..Ladino,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,940254,11895,343230,6946
".French (incl. Patois, Cajun)",114756,3410,30774,1442
..French,107290,3411,29595,1465
..Patois,7390,962,1135,291
..Cajun,75,42,45,37
.French Creole,361103,7687,173905,4989
.Italian,49161,2093,13839,1000
.Portuguese (incl. Portuguese Creole),87311,3268,33328,1966
..Portuguese,87105,3263,33225,1962
..Papia Mentae,205,130,100,75
.German (incl. Luxembourgian),69475,2416,11906,835
..German,69410,2412,11905,835
..Luxembourgian,65,55,(B),--
.Yiddish,5785,548,828,221
.Other West Germanic languages,13769,1325,1647,415
..Pennsylvania Dutch,450,164,70,46
..Dutch,10360,1189,1305,354
..Afrikaans,2935,495,265,163
..Frisian,20,25,(D),(D)
.Scandinavian languages,9505,778,1335,327
..Swedish,3930,512,470,198
..Danish,1935,329,270,127
..Norwegian,2880,469,450,177
..Icelandic,755,256,150,99
.Greek,20862,1548,4545,585
.Russian,35974,2646,16148,1584
.Polish,23937,1642,8859,1020
.Serbo-Croatian languages,17890,1757,7205,999
..Serbocroatian,10625,1446,4690,887
..Croatian,2960,571,895,262
..Serbian,4305,752,1620,335
.Other Slavic languages,16520,1285,5841,835
..Bielorussian,55,61,55,61
..Ukrainian,4605,866,1655,470
..Czech,4405,628,1305,332
..Slovak,1595,345,625,241
..Bulgarian,4670,765,1815,491
..Macedonian,935,342,285,144
..Slovene,260,132,100,62
.Armenian,2268,500,663,254
.Persian,9435,1093,2928,533
.Hindi,19848,1889,4457,713
.Gujarati,19530,2024,5574,865
.Urdu,17383,1939,3790,566
.Other Indic languages,20422,1837,6411,1009
