Table with column headers in row 5 and row headers in column A,,,,
Table 11. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Georgia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,9133039,965,522952,7424
Speak only English at home,7921115,9722,(X),(X)
Speak a language other than English at home,1211924,9641,522952,7424
SPANISH AND SPANISH CREOLE,709563,6393,346236,5607
..Spanish,709565,6393,346235,5607
OTHER INDO-EUROPEAN LANGUAGES,234947,6134,63569,2927
".French (incl. Patois, Cajun)",38390,2015,7294,934
..French,35800,1857,7090,920
..Patois,2460,523,150,103
..Cajun,130,130,(D),(D)
.French Creole,17446,2382,5258,999
.Italian,4846,561,994,230
.Portuguese (incl. Portuguese Creole),12148,1551,3931,904
..Portuguese,12080,1562,3930,904
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),25968,1526,3366,426
..German,25960,1526,3365,426
..Luxembourgian,(D),(D),(B),--
.Yiddish,551,234,48,47
.Other West Germanic languages,5057,742,481,182
..Pennsylvania Dutch,165,124,(D),(D)
..Dutch,2795,452,240,129
..Afrikaans,2100,558,210,126
.Scandinavian languages,2236,400,186,103
..Swedish,1295,319,110,85
..Danish,540,158,60,41
..Norwegian,320,149,(B),--
..Icelandic,70,44,(D),(D)
..Faroese,(D),(D),(B),--
.Greek,2765,469,350,122
.Russian,14848,1466,5342,831
.Polish,3767,792,1105,358
.Serbo-Croatian languages,7444,1233,3381,658
..Serbocroatian,6175,1182,2945,569
..Croatian,790,695,270,281
..Serbian,480,279,165,128
.Other Slavic languages,4378,675,1511,336
..Bielorussian,40,34,40,34
..Ukrainian,1400,465,610,231
..Czech,895,275,330,168
..Slovak,290,126,35,41
..Bulgarian,1625,322,460,145
..Macedonian,135,152,(D),(D)
.Armenian,449,253,154,132
.Persian,9228,1321,3637,759
.Hindi,21744,2003,5083,866
.Gujarati,19656,1993,6352,876
.Urdu,9407,1322,2533,565
.Other Indic languages,21774,2037,8318,1094
..India n.e.c.3,3555,898,1620,473
..Bengali,8220,1276,2770,569
..Panjabi,1945,646,580,297
..Marathi,2790,724,660,237
..Rajasthani,(D),(D),(D),(D)
..Oriya,110,106,(D),(D)
..Assamese,35,50,(D),(D)
..Nepali,3345,837,2330,718
..Sindhi,800,359,160,119
..Pakistan n.e.c.3,365,239,(B),--
..Sinhalese,545,234,155,106
..Romany,(D),(D),(B),--
.Other Indo-European languages,12845,1397,4245,743
..Jamaican Creole,1340,443,95,80
..Krio,1035,578,265,311
..Pidgin,60,64,(B),--
..Gullah,55,51,(D),(D)
..Catalonian,60,48,(B),--
..Romanian,6305,1132,2085,494
..Welsh,115,136,(D),(D)
..Irish Gaelic,380,160,55,56
