Table with column headers in row 5 and row headers in column A,,,,
Table 14. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Illinois:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,12027783,470,1131389,8843
Speak only English at home,9342837,12175,(X),(X)
Speak a language other than English at home,2684946,12160,1131389,8843
SPANISH AND SPANISH CREOLE,1570809,6916,704908,5861
..Spanish,1570810,6916,704910,5861
OTHER INDO-EUROPEAN LANGUAGES,670517,8255,246768,4673
".French (incl. Patois, Cajun)",35613,1773,8065,851
..French,35005,1799,8015,851
..Patois,540,155,50,30
..Cajun,65,66,(D),(D)
.French Creole,4727,826,1285,333
.Italian,40223,1797,11450,809
.Portuguese (incl. Portuguese Creole),6699,851,1341,244
..Portuguese,6650,840,1340,244
..Papia Mentae,50,71,(B),--
.German (incl. Luxembourgian),45782,1929,7550,659
..German,45780,1929,7550,659
.Yiddish,1372,379,240,142
.Other West Germanic languages,6411,652,1240,286
..Pennsylvania Dutch,2315,507,655,252
..Dutch,3440,440,515,183
..Afrikaans,655,255,70,68
.Scandinavian languages,3508,456,444,144
..Swedish,1950,309,245,116
..Danish,715,147,70,64
..Norwegian,820,252,130,70
..Icelandic,25,26,(B),--
.Greek,33302,2143,8438,747
.Russian,41404,1992,19575,1215
.Polish,185121,4705,91438,2828
.Serbo-Croatian languages,31264,2214,12478,1208
..Serbocroatian,11720,1426,5040,788
..Croatian,4910,653,1440,286
..Serbian,14635,1287,6000,766
.Other Slavic languages,33507,2287,14965,1349
..Bielorussian,105,52,60,36
..Ukrainian,13200,1273,6370,820
..Czech,4210,837,1750,580
..Slovak,2340,432,825,237
..Bulgarian,10885,1354,5040,791
..Macedonian,2150,467,735,259
..Slovene,615,207,185,95
.Armenian,2794,633,1047,390
.Persian,6628,872,1971,414
.Hindi,37982,2000,9678,928
.Gujarati,41596,2556,17563,1509
.Urdu,42613,2464,11901,1081
.Other Indic languages,24508,1697,8338,1019
..India n.e.c.3,2595,565,950,371
..Bengali,5980,1025,2220,711
..Panjabi,6585,939,2310,509
..Marathi,4365,655,595,225
..Bihari,(D),(D),(B),--
..Rajasthani,35,45,(B),--
..Oriya,265,144,(D),(D)
..Assamese,110,112,30,36
..Kashmiri,65,63,(B),--
..Nepali,3135,819,1885,485
..Sindhi,445,223,90,63
..Pakistan n.e.c.3,360,199,90,78
..Sinhalese,445,247,125,96
..Romany,95,110,20,27
.Other Indo-European languages,45463,2862,17761,1445
..Jamaican Creole,670,316,70,67
..Krio,40,48,(B),--
..Pidgin,80,66,(B),--
..Catalonian,(D),(D),(B),--
..Romanian,16340,1241,7035,757
..Welsh,145,106,(D),(D)
..Irish Gaelic,1560,438,135,72
..Scottic Gaelic,110,77,(B),--
..Albanian,9685,1335,4230,793
..Lithuanian,14415,1502,5555,736
..Latvian,1535,298,200,122
..Pashto,640,436,385,331
..Kurdish,195,122,130,100
