Table with column headers in row 5 and row headers in column A,,,,
Table 15. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Indiana:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,6087409,542,198648,4069
Speak only English at home,5588460,5499,(X),(X)
Speak a language other than English at home,498949,5498,198648,4069
SPANISH AND SPANISH CREOLE,277381,3508,123268,3124
..Spanish,277380,3508,123270,3124
OTHER INDO-EUROPEAN LANGUAGES,136530,3659,36637,1839
".French (incl. Patois, Cajun)",13911,1131,3150,485
..French,13770,1126,3110,490
..Patois,125,125,(D),(D)
..Cajun,(D),(D),(B),--
.French Creole,1438,432,375,251
.Italian,3574,550,448,138
.Portuguese (incl. Portuguese Creole),1878,472,512,222
..Portuguese,1880,472,510,222
.German (incl. Luxembourgian),35409,1839,8107,955
..German,35400,1838,8100,953
..Luxembourgian,(D),(D),(D),(D)
.Yiddish,185,124,20,30
.Other West Germanic languages,24121,1561,7221,768
..Pennsylvania Dutch,15895,1391,4600,631
..Dutch,7950,727,2595,465
..Afrikaans,275,164,(D),(D)
.Scandinavian languages,876,330,44,35
..Swedish,220,92,(D),(D)
..Danish,410,243,(D),(D)
..Norwegian,120,67,(D),(D)
..Icelandic,130,169,(B),--
.Greek,4391,670,1085,280
.Russian,4835,879,1980,482
.Polish,4965,620,1361,323
.Serbo-Croatian languages,7265,897,2822,469
..Serbocroatian,2705,593,1260,330
..Croatian,780,270,230,119
..Serbian,3780,665,1330,334
.Other Slavic languages,5154,878,1709,426
..Bielorussian,(D),(D),(B),--
..Ukrainian,1005,286,330,132
..Czech,350,136,30,26
..Lusatian,(D),(D),(B),--
..Slovak,435,206,40,27
..Bulgarian,420,225,30,24
..Macedonian,2875,718,1280,392
..Slovene,55,36,(B),--
.Armenian,122,86,28,37
.Persian,1480,314,423,169
.Hindi,7225,1061,1762,485
.Gujarati,4007,646,1343,341
.Urdu,3573,668,864,265
.Other Indic languages,9234,1116,2786,544
..India n.e.c.3,1255,441,340,194
..Bengali,1155,334,250,121
..Panjabi,5130,876,1755,476
..Marathi,860,307,130,86
..Bihari,(D),(D),(B),--
..Oriya,45,69,(B),--
..Assamese,(D),(D),(B),--
..Nepali,245,176,160,110
..Sindhi,(D),(D),(B),--
..Pakistan n.e.c.3,55,67,(D),(D)
..Sinhalese,345,159,90,79
..Romany,50,64,45,52
.Other Indo-European languages,2887,580,597,207
..Jamaican Creole,85,114,(B),--
..Krio,50,41,(B),--
..Pidgin,(D),(D),(B),--
..Catalonian,(D),(D),(D),(D)
..Romanian,1145,357,195,110
..Welsh,(D),(D),(B),--
..Irish Gaelic,230,82,45,34
..Scottic Gaelic,45,52,(B),--
..Albanian,180,144,(D),(D)
..Lithuanian,700,289,190,104
..Latvian,300,143,105,71
..Pashto,115,117,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,63250,1990,32606,1535
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",23119,1520,13417,1186
..Chinese,18560,1437,11320,1179
..Cantonese,1035,296,500,192
..Mandarin,3020,459,1390,247
..Fuchow,(D),(D),(B),--
..Formosan,460,190,195,108
..Wu,40,45,(D),(D)
.Japanese,5857,885,2605,622
.Korean,7588,898,3814,578
".Mon-Khmer, Cambodian",1060,424,478,235
.Hmong,237,214,171,211
.Thai,975,258,364,136
.Laotian,670,290,337,161
