Table with column headers in row 5 and row headers in column A,,,,
Table 21. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Maryland:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,5467945,286,347459,4946
Speak only English at home,4553640,6793,(X),(X)
Speak a language other than English at home,914305,6764,347459,4946
SPANISH AND SPANISH CREOLE,378010,4101,173970,3465
..Spanish,378010,4101,173970,3465
OTHER INDO-EUROPEAN LANGUAGES,242645,4484,65038,2126
".French (incl. Patois, Cajun)",52960,2634,12576,1045
..French,50635,2512,12405,1040
..Patois,2310,524,160,88
..Cajun,(D),(D),(D),(D)
.French Creole,11932,1378,3556,681
.Italian,10135,725,2325,307
.Portuguese (incl. Portuguese Creole),10971,1073,3787,552
..Portuguese,10960,1073,3785,552
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),18284,1113,2726,462
..German,18285,1113,2725,462
.Yiddish,1003,314,134,63
.Other West Germanic languages,3703,585,383,222
..Pennsylvania Dutch,1195,450,265,213
..Dutch,2040,334,110,66
..Afrikaans,435,190,(D),(D)
..Frisian,(D),(D),(B),--
.Scandinavian languages,2262,416,87,48
..Swedish,1010,276,40,36
..Danish,700,269,(D),(D)
..Norwegian,440,161,25,25
..Icelandic,110,92,(D),(D)
.Greek,9848,1131,2410,535
.Russian,21388,1483,8535,843
.Polish,4356,698,1148,275
.Serbo-Croatian languages,2121,450,674,251
..Serbocroatian,925,291,265,147
..Croatian,295,127,100,69
..Serbian,900,313,310,175
.Other Slavic languages,5420,697,1398,351
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,2155,453,685,216
..Czech,915,228,180,97
..Slovak,550,203,155,116
..Bulgarian,1545,484,300,199
..Macedonian,(D),(D),(B),--
..Slovene,210,116,55,56
.Armenian,1634,435,377,155
.Persian,13898,1143,4794,584
.Hindi,16192,1611,2558,537
.Gujarati,9631,1177,3647,601
.Urdu,16765,1559,4987,723
.Other Indic languages,21406,1581,6594,773
..India n.e.c.3,560,269,145,112
..Bengali,8435,1121,2280,452
..Panjabi,3270,742,1100,387
..Marathi,1600,391,110,81
..Bihari,(D),(D),(B),--
..Oriya,170,136,35,41
