Table with column headers in row 5 and row headers in column A,,,,
Table 22. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Massachusetts:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,6238762,273,553602,5266
Speak only English at home,4871680,7523,(X),(X)
Speak a language other than English at home,1367082,7457,553602,5266
SPANISH AND SPANISH CREOLE,502625,3612,215660,3319
..Spanish,502615,3610,215650,3317
..Pachuco,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,552815,6336,197598,4096
".French (incl. Patois, Cajun)",62941,2147,12076,1052
..French,60905,2149,11780,1048
..Patois,2005,590,295,133
..Cajun,30,27,(B),--
.French Creole,64549,2967,28704,1841
.Italian,38919,1599,10295,795
.Portuguese (incl. Portuguese Creole),181917,4738,84755,2951
..Portuguese,181810,4721,84725,2948
..Papia Mentae,110,85,(D),(D)
.German (incl. Luxembourgian),17515,1127,1842,292
..German,17515,1127,1840,292
.Yiddish,785,161,69,49
.Other West Germanic languages,3737,577,329,187
..Dutch,3365,558,295,182
..Afrikaans,375,136,35,38
.Scandinavian languages,4027,571,234,78
..Swedish,2185,390,95,50
..Danish,800,216,60,52
..Norwegian,825,205,55,35
..Icelandic,215,111,(D),(D)
.Greek,23991,1615,6752,749
.Russian,36549,1939,16341,1181
.Polish,19235,1226,6255,834
.Serbo-Croatian languages,4806,1011,1454,391
..Serbocroatian,3170,920,1180,381
..Croatian,770,307,145,107
..Serbian,870,232,130,91
.Other Slavic languages,6969,902,2146,447
..Bielorussian,100,111,(B),--
..Ukrainian,3000,581,1320,324
..Czech,1000,370,175,154
..Slovak,235,105,(D),(D)
..Bulgarian,2300,471,545,200
..Macedonian,290,171,65,54
..Slovene,45,36,(D),(D)
.Armenian,8104,1138,1957,430
.Persian,6453,1035,2281,581
.Hindi,18845,1461,3370,606
.Gujarati,8926,1047,3165,588
.Urdu,6303,1009,1618,412
.Other Indic languages,18901,1611,6978,1033
..India n.e.c.3,1415,477,690,354
..Bengali,4995,697,1685,391
..Panjabi,2980,624,1375,506
..Marathi,3020,590,640,344
..Bihari,(D),(D),(B),--
..Rajasthani,(D),(D),(B),--
..Oriya,85,76,(D),(D)
..Assamese,80,75,(D),(D)
..Kashmiri,40,40,(D),(D)
..Nepali,5415,1033,2375,558
..Sindhi,125,91,(D),(D)
..Pakistan n.e.c.3,185,162,70,80
..Sinhalese,500,198,75,56
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,19343,1463,6977,847
