Table with column headers in row 5 and row headers in column A,,,,
Table 23. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Michigan:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,9300837,376,301467,4111
Speak only English at home,8457581,6635,(X),(X)
Speak a language other than English at home,843256,6567,301467,4111
SPANISH AND SPANISH CREOLE,270708,3068,95184,2120
..Spanish,270695,3067,95185,2120
..Pachuco,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,275043,4891,82797,2164
".French (incl. Patois, Cajun)",25011,1194,4420,466
..French,24590,1176,4305,443
..Patois,405,166,115,142
..Cajun,15,12,(B),--
.French Creole,1600,349,337,135
.Italian,19934,1002,5836,513
.Portuguese (incl. Portuguese Creole),4031,522,988,258
..Portuguese,4030,522,990,258
.German (incl. Luxembourgian),39503,1674,6780,523
..German,39505,1674,6780,523
.Yiddish,579,128,59,39
.Other West Germanic languages,9372,810,2473,382
..Pennsylvania Dutch,3370,545,1415,282
..Dutch,5710,560,1035,210
..Afrikaans,250,119,20,20
..Frisian,45,38,(B),--
.Scandinavian languages,2088,329,195,66
..Swedish,1205,259,95,48
..Danish,370,99,(D),(D)
..Norwegian,465,119,85,50
..Icelandic,50,49,(D),(D)
.Greek,7887,776,2043,368
.Russian,11819,935,5165,533
.Polish,23042,1302,6918,603
.Serbo-Croatian languages,13009,1413,5695,727
..Serbocroatian,8930,1216,4470,643
..Croatian,1225,265,405,125
..Serbian,2855,447,820,236
.Other Slavic languages,13432,1054,4920,471
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,4535,608,2280,419
..Czech,1025,205,250,96
..Slovak,1210,382,140,72
..Bulgarian,945,307,330,116
..Macedonian,5610,824,1875,389
..Slovene,95,57,35,31
.Armenian,2284,422,553,164
.Persian,2644,446,813,225
.Hindi,16340,1393,3378,501
.Gujarati,9355,1002,2905,444
.Urdu,11294,990,3400,525
.Other Indic languages,26343,1686,11779,1106
..India n.e.c.3,1400,350,725,231
..Bengali,13795,1287,7110,892
..Panjabi,4730,790,1470,339
..Marathi,2540,529,495,189
..Rajasthani,(D),(D),(B),--
..Oriya,335,171,40,47
..Assamese,75,70,(D),(D)
..Kashmiri,(D),(D),(B),--
..Nepali,2405,541,1625,458
..Sindhi,125,93,(D),(D)
..Pakistan n.e.c.3,190,153,20,28
..Sinhalese,530,231,205,126
..Romany,175,121,40,38
.Other Indo-European languages,35476,2321,14140,1231
..Jamaican Creole,150,74,20,23
..Krio,55,46,(B),--
..Pidgin,90,91,45,51
..Catalonian,(D),(D),(B),--
..Romanian,11375,1050,4360,534
..Welsh,85,75,(B),--
..Irish Gaelic,370,107,20,23
..Scottic Gaelic,60,49,(D),(D)
..Albanian,20060,1906,8895,1001
..Lithuanian,1530,297,360,103
..Latvian,1170,244,200,84
..Pashto,30,43,(D),(D)
..Kurdish,490,253,225,125
ASIAN AND PACIFIC ISLAND LANGUAGES,135724,2540,57987,2040
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",39273,1491,18790,1057
..Chinese,29960,1458,14875,967
..Hakka,(D),(D),(D),(D)
..Cantonese,2325,418,1070,296
..Mandarin,5955,604,2350,436
..Formosan,940,225,435,141
..Wu,45,33,(D),(D)
.Japanese,12022,977,6080,807
.Korean,15356,1216,8333,852
".Mon-Khmer, Cambodian",1511,380,736,215
.Hmong,4887,864,1634,363
.Thai,1447,281,788,155
.Laotian,2137,433,1217,279
.Vietnamese,15130,1396,9449,998
.Other Asian languages,24465,1785,5844,807
..Kazakh,(D),(D),(D),(D)
..Kirghiz,(D),(D),(B),--
..Uighur,(D),(D),(B),--
..Azerbaijani,35,31,(B),--
..Turkish,1265,310,430,214
..Mongolian,90,91,55,50
..Dravidian,(D),(D),(B),--
..Gondi,80,88,(B),--
..Telugu,8695,916,1605,301
..Kannada,2425,523,255,119
..Malayalam,3900,616,1000,285
..Tamil,6440,892,1100,317
..Munda,(D),(D),(D),(D)
..Tibetan,(D),(D),(D),(D)
..Burmese,895,331,840,325
..Karen,525,375,505,372
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,16903,1093,4300,506
.Other Pacific Island languages,2593,339,816,222
..Indonesian,570,204,215,137
..Balinese,(D),(D),(B),--
..Malay,440,151,75,61
..Bisayan,485,275,200,165
..Sebuano,165,88,75,62
..Pangasinan,55,63,(D),(D)
..Ilocano,190,113,90,81
..Pampangan,25,26,(D),(D)
..Micronesian,70,69,30,35
..Chamorro,125,62,25,24
..Kusaiean,(D),(D),(B),--
..Mortlockese,(D),(D),(D),(D)
..Palau,30,42,(D),(D)
..Ponapean,(D),(D),(B),--
..Trukese,(D),(D),(B),--
..Melanesian,25,32,(B),--
..Polynesian,(D),(D),(D),(D)
..Samoan,200,103,(D),(D)
..Tongan,(D),(D),(B),--
..Hawaiian,115,88,(D),(D)
ALL OTHER LANGUAGES,161781,3968,65499,2198
.Navajo,102,80,2,4
.Other Native North American languages,3454,417,408,92
..Inupik,(D),(D),(D),(D)
..Yupik,20,23,(B),--
..Algonquian,(D),(D),(D),(D)
..Menomini,(D),(D),(B),--
..Ojibwa,1910,282,205,73
..Ottawa,435,182,45,37
..Passamaquoddy,(D),(D),(B),--
..Potawatomi,160,69,15,17
..Okanogan,(D),(D),(B),--
..Apache,25,30,(D),(D)
..Dakota,(D),(D),(B),--
..Alabama,(D),(D),(D),(D)
..Choctaw,170,88,35,34
..Muskogee,(D),(D),(B),--
..Oneida,20,23,(B),--
..Seneca,70,96,(B),--
..Cherokee,175,76,15,16
