Table with column headers in row 5 and row headers in column A,,,,
Table 26. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Missouri:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,5624171,590,128049,3298
Speak only English at home,5279336,4734,(X),(X)
Speak a language other than English at home,344835,4641,128049,3298
SPANISH AND SPANISH CREOLE,148039,2631,56168,2047
..Spanish,148040,2631,56170,2047
OTHER INDO-EUROPEAN LANGUAGES,104592,2808,31366,1706
".French (incl. Patois, Cajun)",14500,984,2874,442
..French,14380,999,2830,443
..Patois,80,68,(D),(D)
..Cajun,35,34,(D),(D)
.French Creole,734,275,330,235
.Italian,4391,576,770,193
.Portuguese (incl. Portuguese Creole),2653,612,743,303
..Portuguese,2595,590,745,303
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),22909,1409,5563,929
..German,22910,1409,5565,929
.Yiddish,221,107,51,41
.Other West Germanic languages,7498,948,2456,420
..Pennsylvania Dutch,4085,677,1685,354
..Dutch,3085,716,745,215
..Afrikaans,330,130,25,22
.Scandinavian languages,853,235,93,68
..Swedish,475,205,40,42
..Danish,170,93,45,49
..Norwegian,200,97,4,9
..Icelandic,(D),(D),(B),--
.Greek,1474,354,378,146
.Russian,8678,899,4225,667
.Polish,1500,298,409,136
.Serbo-Croatian languages,13498,1505,6478,794
..Serbocroatian,12340,1454,6045,795
..Croatian,635,219,220,95
..Serbian,525,261,215,127
.Other Slavic languages,2387,553,647,248
..Ukrainian,880,327,300,177
..Czech,325,161,20,23
..Slovak,60,56,(D),(D)
..Bulgarian,1020,362,285,184
..Macedonian,90,112,(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,187,132,49,62
.Persian,3068,549,1039,282
.Hindi,3999,645,402,130
.Gujarati,1813,485,570,228
.Urdu,3456,764,484,150
.Other Indic languages,6061,946,1944,439
..India n.e.c.3,415,209,190,140
..Bengali,1990,588,570,220
..Panjabi,820,351,245,143
..Marathi,845,297,80,74
..Oriya,265,211,(D),(D)
..Assamese,(D),(D),(B),--
..Kashmiri,(D),(D),(B),--
..Nepali,1290,411,685,297
..Sindhi,(D),(D),(D),(D)
..Pakistan n.e.c.3,200,178,(D),(D)
..Sinhalese,155,108,65,74
.Other Indo-European languages,4712,919,1861,443
..Jamaican Creole,25,29,(D),(D)
..Krio,(D),(D),(D),(D)
..Pidgin,40,30,(D),(D)
..Romanian,1645,465,450,213
..Irish Gaelic,130,79,20,25
..Scottic Gaelic,(D),(D),(B),--
..Albanian,1630,690,840,370
..Lithuanian,185,113,80,70
..Latvian,165,117,55,44
..Pashto,385,280,155,121
..Kurdish,470,240,230,132
ASIAN AND PACIFIC ISLAND LANGUAGES,66504,1980,31713,1282
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",18808,1241,10405,894
..Chinese,14755,1073,8380,830
..Hakka,(D),(D),(B),--
..Cantonese,890,317,510,223
..Mandarin,2620,461,1155,291
..Fuchow,(D),(D),(D),(D)
..Formosan,520,196,340,170
..Wu,10,12,10,12
