Table with column headers in row 5 and row headers in column A,,,,
Table 29. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Nevada:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,2546528,194,317113,4446
Speak only English at home,1799141,6469,(X),(X)
Speak a language other than English at home,747387,6440,317113,4446
SPANISH AND SPANISH CREOLE,517933,4650,230366,3870
..Spanish,517935,4650,230365,3870
OTHER INDO-EUROPEAN LANGUAGES,63079,2507,17994,1374
".French (incl. Patois, Cajun)",8070,709,1526,355
..French,7940,696,1510,356
..Patois,130,99,(D),(D)
.French Creole,543,220,37,53
.Italian,4794,639,1091,243
.Portuguese (incl. Portuguese Creole),2786,429,708,159
..Portuguese,2755,420,710,159
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),7998,703,1127,232
..German,7945,701,1125,232
..Luxembourgian,50,40,(B),--
.Yiddish,367,154,69,59
.Other West Germanic languages,1056,218,168,96
..Dutch,945,209,170,96
..Afrikaans,90,52,(B),--
..Frisian,(D),(D),(B),--
.Scandinavian languages,1313,292,105,62
..Swedish,290,113,(D),(D)
..Danish,450,152,(D),(D)
..Norwegian,535,220,60,51
..Icelandic,40,45,(B),--
.Greek,2236,398,425,134
.Russian,5168,812,1810,419
.Polish,2496,551,460,176
.Serbo-Croatian languages,3824,899,1681,500
..Serbocroatian,1425,599,740,341
..Croatian,830,422,300,202
..Serbian,1570,530,640,278
.Other Slavic languages,2970,554,1164,332
..Ukrainian,425,168,135,101
..Czech,470,173,180,96
..Slovak,65,49,(D),(D)
..Bulgarian,1765,485,780,263
..Macedonian,170,123,(D),(D)
..Slovene,75,60,(D),(D)
.Armenian,2411,585,704,214
.Persian,4187,785,1485,396
.Hindi,2435,573,894,390
.Gujarati,1022,372,626,252
.Urdu,1536,470,407,149
.Other Indic languages,4544,929,2054,537
..India n.e.c.3,515,356,230,187
..Bengali,765,485,335,227
..Panjabi,1485,535,600,270
..Marathi,165,137,(D),(D)
..Oriya,(D),(D),(B),--
..Assamese,(D),(D),(B),--
..Nepali,1030,463,750,382
..Sindhi,35,38,(D),(D)
..Pakistan n.e.c.3,35,62,(D),(D)
..Sinhalese,450,233,80,52
..Romany,(D),(D),(B),--
.Other Indo-European languages,3323,816,1453,472
..Jamaican Creole,30,27,(D),(D)
..Krio,(D),(D),(B),--
..Pidgin,(D),(D),(B),--
..Romanian,1760,476,745,298
..Welsh,(D),(D),(B),--
..Irish Gaelic,115,89,(D),(D)
..Scottic Gaelic,45,50,(D),(D)
..Albanian,895,521,460,293
..Lithuanian,245,140,110,72
..Latvian,25,24,(D),(D)
..Pashto,145,143,85,105
ASIAN AND PACIFIC ISLAND LANGUAGES,142667,2608,60286,2026
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",27518,1760,16029,1249
..Chinese,17580,1562,10470,1078
..Cantonese,4495,816,2525,620
..Mandarin,4375,700,2315,544
..Formosan,1070,320,715,208
.Japanese,5811,640,2349,455
.Korean,10507,1252,6413,892
".Mon-Khmer, Cambodian",1198,382,617,259
.Hmong,59,56,17,25
.Thai,5168,840,3029,592
.Laotian,1842,614,1067,343
.Vietnamese,8718,1212,5092,804
.Other Asian languages,2408,581,653,240
..Kirghiz,(D),(D),(B),--
..Turkish,805,334,160,120
..Mongolian,(D),(D),(D),(D)
..Telugu,530,306,85,82
..Kannada,180,127,(D),(D)
..Malayalam,320,207,125,91
..Tamil,320,188,130,96
..Burmese,205,162,80,68
.Tagalog,69278,2827,21527,1446
.Other Pacific Island languages,10160,1368,3493,930
..Indonesian,410,151,175,92
..Malay,275,129,185,113
..Bisayan,1015,462,350,182
..Sebuano,315,125,105,59
..Pangasinan,60,55,(D),(D)
..Ilocano,1905,514,795,298
..Bikol,(D),(D),(D),(D)
..Pampangan,255,202,120,146
..Micronesian,110,115,(B),--
..Chamorro,1065,309,130,89
..Kusaiean,(D),(D),(D),(D)
..Marshallese,(D),(D),(B),--
..Mokilese,(D),(D),(B),--
..Palau,35,60,35,60
..Ponapean,145,173,50,55
..Trukese,15,22,(D),(D)
..Samoan,2985,959,1315,802
..Tongan,620,271,(D),(D)
..Fijian,280,193,40,52
..Marquesan,(D),(D),(B),--
..Maori,(D),(D),(D),(D)
..Hawaiian,565,254,80,94
ALL OTHER LANGUAGES,23708,1982,8467,968
.Navajo,1022,425,208,96
.Other Native North American languages,1906,320,222,75
..Aleut,(D),(D),(B),--
..Arapaho,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Salish,(D),(D),(B),--
..Haida,(D),(D),(B),--
..Apache,20,24,(B),--
..Mountain Maidu,(D),(D),(B),--
..Washo,145,66,15,15
..Walapai,(D),(D),(B),--
..Yavapai,(D),(D),(D),(D)
