Table with column headers in row 5 and row headers in column A,,,,
Table 31. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for New Jersey:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,8294499,235,1026943,7818
Speak only English at home,5804858,9551,(X),(X)
Speak a language other than English at home,2489641,9534,1026943,7818
SPANISH AND SPANISH CREOLE,1277011,5690,593496,5152
..Spanish,1277000,5689,593490,5153
..Ladino,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,706079,8627,244051,4416
".French (incl. Patois, Cajun)",37885,1706,8791,677
..French,35985,1674,8330,648
..Patois,1900,418,460,225
.French Creole,44092,2438,19066,1430
.Italian,78856,2467,23863,1312
.Portuguese (incl. Portuguese Creole),84180,3040,39213,1946
..Portuguese,84160,3038,39215,1946
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),27412,1353,4258,509
..German,27405,1356,4260,509
..Luxembourgian,(D),(D),(B),--
.Yiddish,6587,958,492,131
.Other West Germanic languages,3615,618,308,135
..Pennsylvania Dutch,50,56,(B),--
..Dutch,3020,501,295,132
..Afrikaans,540,256,(D),(D)
..Frisian,(D),(D),(B),--
.Scandinavian languages,3222,473,232,103
..Swedish,1255,262,55,46
..Danish,920,291,25,22
..Norwegian,970,214,145,89
..Icelandic,75,58,(D),(D)
.Greek,20843,1562,5113,640
.Russian,44795,2255,18888,1368
.Polish,66346,2552,28828,1481
.Serbo-Croatian languages,8967,891,3361,481
..Serbocroatian,2540,668,1130,406
..Croatian,3490,635,1145,291
..Serbian,2935,560,1085,278
.Other Slavic languages,21382,1397,8390,884
..Bielorussian,60,67,(B),--
..Ukrainian,11070,1025,4400,556
..Czech,1255,323,385,193
..Slovak,3540,669,1430,394
..Bulgarian,2030,560,645,281
..Macedonian,3275,613,1470,364
..Slovene,150,71,65,40
.Armenian,5351,736,1874,355
.Persian,8944,1163,2822,447
.Hindi,63342,2612,13820,1257
.Gujarati,75414,2820,30279,1860
.Urdu,27961,2132,7907,928
.Other Indic languages,54525,2426,18897,1363
..India n.e.c.3,8945,1212,3650,632
..Bengali,18165,1460,6845,768
..Panjabi,13990,1453,5555,809
..Marathi,8250,988,920,241
..Bihari,(D),(D),(B),--
..Oriya,600,312,95,108
..Assamese,135,136,(B),--
..Kashmiri,295,237,85,96
..Nepali,805,269,380,165
..Sindhi,1080,298,90,61
..Pakistan n.e.c.3,1155,522,820,402
..Sinhalese,1070,342,460,244
..Romany,(D),(D),(B),--
.Other Indo-European languages,22360,1868,7649,864
..Jamaican Creole,2235,650,975,399
..Krio,455,246,210,181
..Pidgin,255,289,195,266
..Catalonian,105,79,(D),(D)
..Romanian,5285,924,1805,416
..Welsh,80,58,(B),--
..Irish Gaelic,1085,266,150,80
..Scottic Gaelic,120,85,(B),--
..Albanian,8935,1306,3070,515
..Lithuanian,1740,456,460,166
..Latvian,835,227,185,113
..Pashto,1085,629,535,357
..Kurdish,150,180,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,386540,4453,153738,3172
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",111151,3967,50560,2420
..Chinese,78860,3311,36345,1907
..Hakka,50,43,15,24
..Cantonese,8845,1129,3365,603
..Mandarin,19115,1457,8515,822
..Fuchow,190,149,190,149
..Formosan,3955,658,2060,362
..Wu,140,94,70,72
.Japanese,12032,959,5745,668
.Korean,76224,2909,39333,1819
".Mon-Khmer, Cambodian",745,325,497,234
.Hmong,15,17,(B),--
.Thai,2920,517,1447,367
.Laotian,244,131,124,95
.Vietnamese,20704,1889,12411,1183
.Other Asian languages,76419,2607,19732,1323
..Kazakh,(D),(D),(B),--
..Karachay,45,64,(D),(D)
..Uighur,180,114,(D),(D)
..Turkish,13235,1199,5780,682
..Mongolian,225,165,45,35
..Dravidian,220,207,(B),--
..Gondi,155,124,(D),(D)
..Telugu,25940,1623,6000,740
..Kannada,5325,841,1015,385
..Malayalam,9555,1032,2350,439
..Tamil,19835,1623,3605,729
..Munda,200,126,(D),(D)
..Tibetan,125,87,(D),(D)
..Burmese,1310,405,730,282
..Karen,60,133,50,120
.Tagalog,81134,3400,21973,1497
.Other Pacific Island languages,4952,711,1916,443
..Indonesian,1740,458,815,283
..Balinese,(D),(D),(D),(D)
..Javanese,(D),(D),(B),--
..Malay,310,156,95,67
..Bisayan,930,283,315,131
..Sebuano,665,212,190,88
..Ilocano,590,208,190,124
..Pampangan,300,283,225,291
..Chamorro,85,58,(B),--
..Kusaiean,(D),(D),(B),--
..Trukese,(D),(D),(D),(D)
..Melanesian,125,114,(D),(D)
..Samoan,75,76,35,44
..Tongan,(D),(D),(D),(D)
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,120011,3587,35658,1827
.Other Native North American languages,814,337,220,143
..Aleut,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Delaware,50,44,(B),--
..Micmac,(D),(D),(D),(D)
..Ojibwa,95,115,(D),(D)
..Ottawa,190,252,(D),(D)
..Shawnee,(D),(D),(B),--
..Kuchin,(D),(D),(B),--
..Santiam,(D),(D),(D),(D)
..Karok,(D),(D),(D),(D)
..Delta River Yuman,(D),(D),(B),--
..Walapai,(D),(D),(B),--
..Keres,20,19,(D),(D)
..Mohawk,55,44,(D),(D)
..Cherokee,25,26,(B),--
..Tewa,(D),(D),(B),--
..American Indian,155,127,(D),(D)
.Hungarian,6296,633,2280,356
.Arabic,59729,2992,21782,1517
.Hebrew,15800,1088,1773,386
.African languages,33165,1971,7812,750
..Amharic,1780,417,475,185
..Berber,320,257,235,228
..Chadic,295,143,105,85
..Cushite,70,52,35,29
..Sudanic,90,98,(D),(D)
..Nilotic,30,36,(B),--
..Swahili,3300,590,775,316
..Bantu,1170,380,205,98
..Mande,1370,476,435,240
..Fulani,735,266,120,100
..Gur,180,133,45,48
"..Kru, Ibo, Yoruba",23035,1748,5155,658
..Efik,170,122,40,53
..African,610,261,155,103
.Other and unspecified languages,4207,673,1791,334
..Finnish,475,188,80,59
..Estonian,575,194,155,84
..Caucasian,1660,458,755,234
..Basque,(D),(D),(B),--
..Syriac,1035,441,515,226
..Aztecan,75,111,55,83
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,65,59,50,54
..Quechua,125,92,125,92
..Arawakian,80,62,(D),(D)
..Chibchan,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,70,42,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US34). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
