Table with column headers in row 5 and row headers in column A,,,,
Table 33. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for New York:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,18322476,609,2455989,12836
Speak only English at home,12835426,17251,(X),(X)
Speak a language other than English at home,5487050,17333,2455989,12836
SPANISH AND SPANISH CREOLE,2705243,9252,1232242,9042
..Spanish,2705225,9249,1232235,9040
..Ladino,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,1628047,14318,632076,7496
".French (incl. Patois, Cajun)",139202,3875,33531,1790
..French,133535,3866,32520,1782
..Patois,5645,578,1010,205
..Cajun,(D),(D),(B),--
.French Creole,153455,4931,66679,2698
.Italian,191569,4101,60918,1765
.Portuguese (incl. Portuguese Creole),45070,2161,16785,1403
..Portuguese,44980,2168,16765,1403
..Papia Mentae,90,60,20,21
.German (incl. Luxembourgian),65194,2029,10762,696
..German,65165,2027,10760,696
..Luxembourgian,(D),(D),(B),--
.Yiddish,128760,3686,49887,1996
.Other West Germanic languages,17931,1221,4371,479
..Pennsylvania Dutch,6485,805,2595,431
..Dutch,10840,900,1775,303
..Afrikaans,610,176,(D),(D)
.Scandinavian languages,9210,785,1040,297
..Swedish,4105,571,275,95
..Danish,2055,450,295,266
..Norwegian,2720,415,450,142
..Icelandic,320,144,20,27
..Faroese,(D),(D),(B),--
.Greek,71233,2922,20897,1180
.Russian,226290,4082,130848,2773
.Polish,95175,3071,42182,1904
.Serbo-Croatian languages,34025,2178,13233,1081
..Serbocroatian,16585,1566,7040,807
..Croatian,10470,924,3685,489
..Serbian,6965,1025,2510,468
.Other Slavic languages,36471,1833,15971,1094
..Bielorussian,445,178,265,129
..Ukrainian,21480,1356,10900,864
..Czech,3005,561,1015,328
..Slovak,3155,542,1065,275
..Bulgarian,5300,725,1650,323
..Macedonian,2755,682,930,270
..Slovene,330,109,140,88
.Armenian,6595,824,2214,367
.Persian,26545,1836,10666,1031
.Hindi,58591,2661,14864,1077
.Gujarati,20782,1653,6992,931
.Urdu,71425,3795,26915,1895
.Other Indic languages,155224,5786,74330,3382
..India n.e.c.3,4295,875,1415,475
..Bengali,96980,4113,48980,2611
..Panjabi,34410,2937,15100,1601
..Marathi,3480,558,575,216
..Bihari,(D),(D),(B),--
..Rajasthani,135,178,(B),--
..Oriya,410,189,85,82
..Assamese,50,58,(B),--
..Kashmiri,230,162,80,71
..Nepali,9015,1213,5750,956
..Sindhi,940,263,160,85
..Pakistan n.e.c.3,2320,744,1260,429
..Sinhalese,2890,662,925,252
..Romany,50,48,(D),(D)
.Other Indo-European languages,75300,3580,28991,1732
..Jamaican Creole,4210,723,1220,266
..Krio,470,228,150,116
..Pidgin,55,47,(D),(D)
..Gullah,(D),(D),(D),(D)
..Saramacca,(D),(D),(B),--
..Catalonian,360,140,80,54
..Romanian,15135,1108,5515,555
..Welsh,140,78,(D),(D)
..Irish Gaelic,3005,387,485,120
..Scottic Gaelic,60,51,(B),--
..Albanian,40995,2845,17010,1410
..Lithuanian,2465,354,835,237
..Latvian,1700,362,510,153
..Pashto,5025,1433,2290,735
..Kurdish,1130,549,445,223
..Balochi,(D),(D),(D),(D)
..Tadzhik,435,347,350,270
..Ossete,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,881475,7100,504881,6112
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",523389,5684,339351,5254
..Chinese,336870,6171,223870,5003
..Hakka,325,169,130,84
..Cantonese,95915,3289,58365,2456
..Mandarin,79395,3729,49705,2950
..Fuchow,475,212,360,161
..Formosan,9265,1224,6250,965
..Wu,1140,335,675,227
.Japanese,34294,1756,16575,1292
.Korean,109551,3909,62586,2596
".Mon-Khmer, Cambodian",4578,847,1989,424
.Hmong,191,115,56,65
.Thai,9395,1012,4943,629
.Laotian,3184,562,1622,310
.Vietnamese,22269,1612,12321,1034
.Other Asian languages,86879,3039,39153,2227
..Kazakh,270,213,215,160
..Kirghiz,55,85,55,85
..Karachay,210,109,90,74
..Uighur,3290,802,2610,669
..Azerbaijani,310,245,170,168
..Turkish,19145,1601,7855,845
..Mongolian,340,146,130,112
..Tungus,(D),(D),(B),--
..Dravidian,45,56,(D),(D)
..Gondi,135,136,(D),(D)
..Telugu,7880,777,1840,391
..Kannada,1690,343,315,149
..Malayalam,24340,1650,8570,820
..Tamil,8695,1039,1800,463
..Munda,320,220,(D),(D)
..Tibetan,7800,1243,5445,947
..Burmese,7145,1085,5035,852
..Karen,5165,947,4930,942
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(D),(D)
.Tagalog,76524,2991,21350,1435
.Other Pacific Island languages,11221,1237,4935,710
..Indonesian,4205,835,2205,543
..Javanese,(D),(D),(B),--
..Malagasy,260,142,85,67
..Malay,2110,647,900,291
..Bisayan,1290,335,330,152
..Sebuano,1220,345,540,204
..Pangasinan,155,138,90,95
..Ilocano,520,199,165,72
..Pampangan,110,81,45,44
..Micronesian,(D),(D),(D),(D)
..Carolinian,(D),(D),(D),(D)
..Chamorro,160,112,(D),(D)
..Kusaiean,70,81,(D),(D)
..Marshallese,(D),(D),(D),(D)
..Palau,75,99,40,54
..Trukese,30,37,(B),--
..Melanesian,40,33,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,140,91,50,52
..Tongan,140,129,60,85
..Fijian,115,99,(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,325,238,275,227
ALL OTHER LANGUAGES,272285,5595,86790,3015
.Navajo,219,142,(B),--
.Other Native North American languages,4456,586,950,223
