Table with column headers in row 5 and row headers in column A,,,,
Table 34. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for North Carolina:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,9027673,652,437382,5492
Speak only English at home,8042027,6678,(X),(X)
Speak a language other than English at home,985646,6675,437382,5492
SPANISH AND SPANISH CREOLE,658939,4905,331648,4894
..Spanish,658940,4905,331650,4894
OTHER INDO-EUROPEAN LANGUAGES,149117,4368,35938,2074
".French (incl. Patois, Cajun)",27133,1663,6254,816
..French,26580,1659,6170,811
..Patois,485,226,80,83
..Cajun,70,51,(B),--
.French Creole,2655,587,783,263
.Italian,7394,926,1460,376
.Portuguese (incl. Portuguese Creole),6189,793,1821,489
..Portuguese,6190,793,1820,489
.German (incl. Luxembourgian),23535,1235,2896,296
..German,23515,1235,2895,296
..Luxembourgian,(D),(D),(B),--
.Yiddish,74,83,(B),--
.Other West Germanic languages,3481,669,281,124
..Pennsylvania Dutch,280,183,85,85
..Dutch,2020,456,115,59
..Afrikaans,1180,411,80,60
.Scandinavian languages,2545,554,146,63
..Swedish,1420,339,125,60
..Danish,535,250,(B),--
..Norwegian,420,254,(D),(D)
..Icelandic,170,141,15,19
.Greek,5234,660,1232,258
.Russian,10351,1384,3495,591
.Polish,3248,574,737,196
.Serbo-Croatian languages,3479,654,1385,342
..Serbocroatian,2125,531,835,269
..Croatian,280,144,65,64
..Serbian,1075,375,485,213
.Other Slavic languages,4861,838,1372,352
..Bielorussian,45,36,(D),(D)
..Ukrainian,2150,682,880,318
..Czech,745,294,75,71
..Slovak,525,298,90,93
..Bulgarian,1110,352,195,96
..Macedonian,35,43,(D),(D)
..Slovene,255,178,100,119
.Armenian,299,107,21,23
.Persian,4150,762,1502,386
.Hindi,13048,1270,2174,509
.Gujarati,9623,1247,3548,624
.Urdu,5293,866,1658,407
.Other Indic languages,10888,1258,3619,611
..India n.e.c.3,1205,481,260,124
..Bengali,2475,495,715,240
..Panjabi,2150,551,555,229
..Marathi,1720,441,305,199
..Rajasthani,95,99,95,99
..Oriya,330,198,(D),(D)
..Assamese,(D),(D),(B),--
..Nepali,2260,617,1440,518
..Sindhi,55,56,(B),--
..Pakistan n.e.c.3,265,165,130,102
..Sinhalese,320,193,115,105
.Other Indo-European languages,5637,1023,1554,441
..Jamaican Creole,340,128,80,69
..Krio,400,276,(D),(D)
..Pidgin,80,71,(D),(D)
..Gullah,(D),(D),(B),--
..Saramacca,(D),(D),(B),--
..Catalonian,40,39,(D),(D)
..Romanian,2475,668,935,337
..Welsh,155,101,(D),(D)
..Irish Gaelic,330,136,75,84
..Scottic Gaelic,35,36,(B),--
..Albanian,605,284,230,149
..Lithuanian,290,145,45,53
..Latvian,165,182,(B),--
..Pashto,595,425,70,48
..Kurdish,90,67,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,134620,2602,57961,1908
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",30083,1552,13549,1066
..Chinese,23655,1396,10720,925
..Hakka,(D),(D),(D),(D)
..Cantonese,1630,465,610,281
..Mandarin,4110,683,1845,513
..Fuchow,80,81,50,52
..Formosan,550,211,305,160
..Wu,(D),(D),(B),--
.Japanese,5717,699,2189,374
.Korean,15685,1343,7595,779
".Mon-Khmer, Cambodian",5239,1056,2535,564
.Hmong,8786,963,3502,503
.Thai,2794,522,1245,333
.Laotian,4695,942,1948,438
.Vietnamese,22459,1727,14072,1271
.Other Asian languages,22516,1684,7201,1156
..Uighur,55,57,(D),(D)
..Turkish,1845,450,330,138
..Mongolian,60,53,(D),(D)
..Gondi,265,279,(D),(D)
..Telugu,6690,955,1630,493
..Kannada,1830,477,235,128
..Malayalam,2375,540,570,227
..Tamil,4900,796,980,331
..Munda,(D),(D),(B),--
..Tibetan,50,47,(D),(D)
..Burmese,1280,419,880,283
..Karen,3155,959,2505,813
.Tagalog,12098,1046,2675,343
.Other Pacific Island languages,4548,746,1450,366
..Indonesian,1055,345,510,178
..Balinese,175,222,65,86
..Cham,455,295,315,209
..Malagasy,(D),(D),(B),--
..Malay,235,240,(B),--
..Bisayan,300,170,135,98
..Sebuano,255,134,20,21
..Pangasinan,(D),(D),(D),(D)
..Ilocano,75,60,(D),(D)
..Pampangan,50,46,(D),(D)
..Micronesian,310,198,(B),--
..Carolinian,70,107,(D),(D)
..Chamorro,415,155,100,68
..Gilbertese,(D),(D),(D),(D)
..Marshallese,50,32,(D),(D)
..Mokilese,145,197,70,104
..Palau,40,49,(D),(D)
..Ponapean,115,119,30,34
..Trukese,20,94,(D),(D)
..Yapese,(D),(D),(D),(D)
..Melanesian,30,25,(B),--
..Polynesian,30,33,(B),--
..Samoan,635,302,70,63
..Tongan,(D),(D),(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,20,26,(D),(D)
ALL OTHER LANGUAGES,42970,2698,11835,1135
.Navajo,243,95,52,43
.Other Native North American languages,1753,386,355,144
..Aleut,(D),(D),(D),(D)
..Inupik,(D),(D),(B),--
..Yupik,35,41,(B),--
..Kickapoo,(D),(D),(B),--
..Micmac,60,44,(B),--
..Ojibwa,35,39,(D),(D)
..Ottawa,(D),(D),(B),--
..Tlingit,(D),(D),(B),--
..Crow,(D),(D),(D),(D)
..Dakota,75,51,(D),(D)
..Choctaw,(D),(D),(B),--
..Keres,30,37,30,37
..Mohawk,(D),(D),(B),--
..Tuscarora,95,69,30,29
..Cherokee,1170,337,175,93
..Zuni,(D),(D),(B),--
..American Indian,130,93,55,69
.Hungarian,1262,459,119,59
.Arabic,16371,1524,5324,778
.Hebrew,1583,379,127,70
.African languages,20594,1832,5477,794
..Amharic,3545,724,1340,401
..Berber,(D),(D),(B),--
..Chadic,740,353,355,198
..Cushite,1445,588,310,190
..Sudanic,480,367,265,215
..Nilotic,40,45,(B),--
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,3065,763,925,455
..Bantu,2220,813,360,204
..Mande,875,317,210,105
..Fulani,1380,660,230,140
..Gur,30,50,(D),(D)
"..Kru, Ibo, Yoruba",6220,1027,1115,368
..Efik,45,61,(B),--
..Mbum (and related),40,65,40,65
..African,420,313,305,242
.Other and unspecified languages,1164,350,381,170
..Finnish,400,185,90,77
..Estonian,60,71,(D),(D)
..Caucasian,(D),(D),(D),(D)
..Syriac,55,78,25,52
..Mayan languages,200,154,170,124
..Tarascan,30,35,(D),(D)
..Oto - Manguen,25,27,(D),(D)
..Arawakian,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,220,94,(D),(D)
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US37). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
