Table with column headers in row 5 and row headers in column A,,,,
Table 36. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Ohio:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,10843151,588,254186,4449
Speak only English at home,10124056,6986,(X),(X)
Speak a language other than English at home,719095,6951,254186,4449
SPANISH AND SPANISH CREOLE,241651,3332,90725,2189
..Spanish,241650,3332,90725,2189
OTHER INDO-EUROPEAN LANGUAGES,274162,4520,84485,2868
".French (incl. Patois, Cajun)",28349,1257,7001,732
..French,28005,1229,6940,738
..Patois,345,190,60,46
.French Creole,1800,483,495,273
.Italian,17966,1049,4803,510
.Portuguese (incl. Portuguese Creole),3459,634,953,341
..Portuguese,3425,628,955,341
..Papia Mentae,35,46,(B),--
.German (incl. Luxembourgian),54215,2277,14196,1087
..German,54195,2271,14195,1087
..Luxembourgian,(D),(D),(B),--
.Yiddish,689,162,66,44
.Other West Germanic languages,41220,2146,15195,1255
..Pennsylvania Dutch,28705,2001,10900,1197
..Dutch,12160,1355,4255,799
..Afrikaans,355,146,40,33
.Scandinavian languages,1675,404,83,53
..Swedish,725,223,70,52
..Danish,620,318,(D),(D)
..Norwegian,275,128,(B),--
..Icelandic,55,39,(B),--
.Greek,10122,790,2368,316
.Russian,16917,1381,8416,808
.Polish,9504,758,2575,347
.Serbo-Croatian languages,12868,1146,4877,568
..Serbocroatian,2375,554,1080,292
..Croatian,5205,612,1770,330
..Serbian,5285,823,2025,371
.Other Slavic languages,15688,1302,5603,594
..Bielorussian,55,144,(D),(D)
..Ukrainian,7835,996,3735,572
..Czech,755,215,130,67
..Slovak,2410,346,400,106
..Bulgarian,995,447,180,118
..Macedonian,1800,423,580,201
..Slovene,1840,298,560,150
.Armenian,482,184,155,74
.Persian,3266,551,1152,315
.Hindi,16159,1475,2606,537
.Gujarati,7727,893,2508,465
.Urdu,5132,678,1060,251
.Other Indic languages,13352,1356,4893,906
..India n.e.c.3,1585,457,360,173
..Bengali,2660,514,620,187
..Panjabi,4070,720,1560,432
..Marathi,1625,423,355,204
..Oriya,35,52,35,52
..Assamese,55,59,(B),--
..Kashmiri,(D),(D),(B),--
..Nepali,2130,688,1640,589
..Sindhi,85,83,(D),(D)
..Pakistan n.e.c.3,120,102,95,98
..Sinhalese,775,364,135,129
..Romany,165,121,50,47
.Other Indo-European languages,13572,1433,5480,819
..Jamaican Creole,320,184,(D),(D)
..Krio,450,247,100,115
..Pidgin,125,85,60,61
..Romanian,6335,990,3055,566
..Welsh,140,75,35,35
..Irish Gaelic,850,255,105,57
..Scottic Gaelic,35,37,(B),--
..Albanian,3280,814,1600,484
..Lithuanian,1085,244,240,123
..Latvian,670,178,80,50
..Pashto,145,108,65,87
..Kurdish,145,134,70,67
ASIAN AND PACIFIC ISLAND LANGUAGES,120312,2276,51891,1675
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",41089,1640,20374,1110
..Chinese,33190,1682,17035,1051
..Hakka,95,127,95,127
..Cantonese,1845,396,700,232
..Mandarin,4935,622,2065,394
..Fuchow,(D),(D),(B),--
..Formosan,985,332,480,187
..Wu,(D),(D),(B),--
.Japanese,9510,915,4619,580
.Korean,12560,1045,6007,634
".Mon-Khmer, Cambodian",3992,747,1988,468
.Hmong,543,306,164,108
.Thai,2590,492,1261,298
.Laotian,3287,659,1353,347
.Vietnamese,11619,1012,6609,735
.Other Asian languages,21798,1546,5556,679
..Karachay,(D),(D),(B),--
..Uighur,170,111,135,89
..Azerbaijani,(D),(D),(B),--
..Turkish,2810,549,1030,234
..Mongolian,75,71,35,46
..Dravidian,(D),(D),(B),--
..Telugu,7490,1019,1585,395
..Kannada,1460,404,200,118
..Malayalam,2220,503,475,200
..Tamil,6210,900,1115,356
..Munda,(D),(D),(B),--
..Tibetan,165,196,165,196
..Burmese,615,250,415,180
..Karen,430,295,390,263
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,10897,946,2958,372
.Other Pacific Island languages,2427,484,1002,235
..Indonesian,715,302,235,106
..Balinese,70,113,(B),--
..Malagasy,45,41,45,41
..Malay,315,131,205,106
..Bisayan,270,146,140,108
..Sebuano,360,198,160,101
..Ilocano,40,46,(D),(D)
..Chamorro,120,69,60,58
..Marshallese,145,98,85,60
..Ponapean,(D),(D),(B),--
..Yapese,(D),(D),(D),(D)
..Melanesian,55,52,(B),--
..Polynesian,(D),(D),(D),(D)
..Samoan,115,84,(D),(D)
..Fijian,(D),(D),(B),--
..Hawaiian,90,75,(B),--
ALL OTHER LANGUAGES,82970,3461,27085,1694
.Navajo,59,79,(B),--
.Other Native North American languages,1069,272,161,97
..Aleut,(D),(D),(B),--
..Yupik,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Blackfoot,25,30,(B),--
..Delaware,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Shawnee,25,27,(B),--
..Quinault,(D),(D),(B),--
..Kuchin,90,75,35,40
..Apache,30,32,(B),--
..Nez Perce,(D),(D),(D),(D)
..Pomo,105,155,(D),(D)
..Yuma,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Dakota,75,41,(B),--
..Choctaw,125,81,(B),--
..Koasati,(D),(D),(B),--
..Muskogee,(D),(D),(B),--
..Keres,(D),(D),(B),--
..Iroquois,30,37,(B),--
..Mohawk,(D),(D),(D),(D)
..Cherokee,250,117,25,20
..Hopi,(D),(D),(B),--
..Tiwa,(D),(D),(B),--
..American Indian,80,48,45,45
.Hungarian,7144,637,1794,250
.Arabic,34277,2528,11134,1143
.Hebrew,2838,479,351,152
.African languages,35960,2132,13126,1103
..Amharic,4675,802,1735,330
..Berber,55,51,(D),(D)
..Chadic,90,87,(B),--
..Cushite,13160,1409,5820,801
..Sudanic,(D),(D),(D),(D)
..Nilotic,(D),(D),(B),--
..Swahili,2725,678,875,390
..Bantu,2255,661,760,387
..Mande,1330,486,500,217
..Fulani,2595,608,1230,396
..Gur,40,43,(D),(D)
"..Kru, Ibo, Yoruba",8640,1027,2060,406
..Efik,110,92,(D),(D)
..Mbum (and related),(D),(D),(D),(D)
..African,185,117,60,47
.Other and unspecified languages,1623,409,519,225
..Finnish,670,259,90,68
..Estonian,335,187,105,78
..Lapp,(D),(D),(B),--
..Caucasian,240,192,155,144
..Syriac,80,94,(D),(D)
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,(D),(D),(D),(D)
..Quechua,(D),(D),(B),--
..Chibchan,105,164,95,143
..Uncodable,105,59,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US39). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
