Table with column headers in row 5 and row headers in column A,,,,
Table 39. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Pennsylvania:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,12008403,368,470970,4913
Speak only English at home,10769224,6989,(X),(X)
Speak a language other than English at home,1239179,6992,470970,4913
SPANISH AND SPANISH CREOLE,525218,4458,204631,3300
..Spanish,525220,4458,204630,3300
OTHER INDO-EUROPEAN LANGUAGES,431562,6460,137101,3294
".French (incl. Patois, Cajun)",40087,2049,10143,954
..French,38870,2038,9980,942
..Patois,1185,278,155,98
..Cajun,30,33,(D),(D)
.French Creole,14996,1576,5514,947
.Italian,44686,1600,12671,814
.Portuguese (incl. Portuguese Creole),12504,1434,5075,887
..Portuguese,12505,1434,5075,887
.German (incl. Luxembourgian),51345,1476,10275,738
..German,51345,1476,10275,738
.Yiddish,1867,355,192,121
.Other West Germanic languages,63058,2572,19752,1136
..Pennsylvania Dutch,51760,2235,16510,1015
..Dutch,10635,1174,3105,538
..Afrikaans,660,229,140,67
.Scandinavian languages,3415,663,516,173
..Swedish,1795,559,340,160
..Danish,770,257,70,46
..Norwegian,695,193,80,39
..Icelandic,150,82,(D),(D)
.Greek,14970,1093,3986,478
.Russian,35394,2012,17091,1189
.Polish,23470,1661,7700,878
.Serbo-Croatian languages,8533,1012,3071,432
..Serbocroatian,4400,563,1900,289
..Croatian,2410,645,690,239
..Serbian,1725,385,480,150
.Other Slavic languages,19189,1287,6752,802
..Bielorussian,70,61,60,53
..Ukrainian,11845,1155,4920,672
..Czech,1155,234,310,148
..Lusatian,(D),(D),(B),--
..Slovak,3860,385,700,145
..Bulgarian,1720,404,595,239
..Macedonian,225,116,90,75
..Slovene,305,99,75,41
.Armenian,1979,493,446,177
.Persian,4554,698,1366,294
.Hindi,21108,1658,4533,641
.Gujarati,19292,1661,8236,854
.Urdu,8322,1152,2205,627
.Other Indic languages,25021,1937,10739,1241
..India n.e.c.3,2905,677,1150,392
..Bengali,7850,1146,3035,531
..Panjabi,4965,933,1980,549
..Marathi,3250,633,450,172
..Oriya,135,115,(D),(D)
..Assamese,15,16,(B),--
..Kashmiri,(D),(D),(B),--
..Nepali,4720,909,3610,832
..Sindhi,375,283,195,203
..Pakistan n.e.c.3,170,111,80,66
..Sinhalese,575,222,205,133
..Romany,55,46,(D),(D)
.Other Indo-European languages,17772,1384,6838,657
..Jamaican Creole,1330,381,130,93
..Krio,605,247,200,140
..Pidgin,(D),(D),(B),--
..Catalonian,65,72,(D),(D)
..Romanian,4630,690,1705,330
..Welsh,220,88,(D),(D)
..Irish Gaelic,755,184,185,114
..Scottic Gaelic,65,59,(B),--
..Albanian,7320,1164,3795,631
..Lithuanian,1435,258,340,140
..Latvian,645,196,85,60
..Pashto,605,350,320,193
..Kurdish,80,77,30,35
ASIAN AND PACIFIC ISLAND LANGUAGES,216885,2964,108998,2397
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",72904,2689,40187,1765
..Chinese,55775,2304,30770,1564
..Cantonese,6460,828,3715,634
..Mandarin,9010,804,4795,641
..Fuchow,160,115,130,114
..Formosan,1470,393,765,272
..Wu,25,28,(D),(D)
.Japanese,6546,543,2426,378
.Korean,28884,1516,14771,957
".Mon-Khmer, Cambodian",11188,1456,6582,1072
.Hmong,900,540,390,216
.Thai,2304,378,1137,229
.Laotian,2064,577,1122,402
.Vietnamese,37783,1990,23983,1367
.Other Asian languages,34203,1973,11972,1247
..Kazakh,85,84,50,63
..Uighur,435,243,340,206
..Azerbaijani,(D),(D),(D),(D)
..Turkish,4110,540,1550,343
..Turkmen,(D),(D),(B),--
..Mongolian,65,56,(D),(D)
..Dravidian,25,42,(B),--
..Telugu,7875,925,1600,471
..Kannada,1620,403,385,187
..Malayalam,10945,1242,4680,636
..Tamil,6250,613,1295,340
..Munda,(D),(D),(D),(D)
..Tibetan,330,287,155,176
..Burmese,1640,666,1150,564
..Karen,765,537,725,528
..Kachin,30,33,(D),(D)
.Tagalog,15222,1263,4206,600
.Other Pacific Island languages,4887,802,2222,488
..Indonesian,2960,667,1590,431
..Balinese,(D),(D),(B),--
..Cham,75,120,(D),(D)
..Javanese,(D),(D),(D),(D)
..Malay,550,204,285,164
..Minangkabau,(D),(D),(D),(D)
..Bisayan,220,83,55,37
..Sebuano,190,102,50,57
..Ilocano,100,85,(B),--
..Pampangan,(D),(D),(B),--
..Carolinian,45,49,(B),--
..Chamorro,170,90,(D),(D)
..Marshallese,(D),(D),(D),(D)
..Mokilese,15,27,(D),(D)
..Palau,70,62,35,36
..Woleai-Ulithi,(D),(D),(B),--
..Melanesian,145,143,65,90
..Samoan,105,61,(D),(D)
..Fijian,(D),(D),(D),(D)
..Maori,30,38,(B),--
..Hawaiian,50,43,(B),--
ALL OTHER LANGUAGES,65514,3004,20240,1499
.Navajo,124,127,50,53
.Other Native North American languages,966,200,107,67
..Inupik,10,12,(B),--
..Algonquian,35,41,(D),(D)
..Cheyenne,25,21,(B),--
..Delaware,20,21,(D),(D)
..Ojibwa,(D),(D),(B),--
..Kwakiutl,(D),(D),(D),(D)
..Kuchin,60,68,(D),(D)
..Apache,80,71,(D),(D)
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,155,81,(B),--
..Choctaw,105,90,(D),(D)
..Muskogee,60,42,(B),--
..Keres,(D),(D),(D),(D)
..Mohawk,(D),(D),(B),--
..Onondaga,50,82,(B),--
..Seneca,(D),(D),(B),--
..Wyandot,(D),(D),(B),--
..Cherokee,150,61,25,31
..Pima,(D),(D),(B),--
..Towa,(D),(D),(B),--
..American Indian,60,51,(B),--
..Kalispel,(D),(D),(B),--
.Hungarian,3857,466,930,205
.Arabic,29546,2179,10772,930
.Hebrew,6272,700,820,231
.African languages,23519,1782,7106,1087
..Amharic,4075,718,1600,489
..Berber,380,200,200,133
..Chadic,255,132,60,57
..Cushite,990,420,545,220
..Sudanic,60,46,35,33
..Nilotic,130,150,(D),(D)
..Nilo-Hamitic,(D),(D),(D),(D)
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,2590,507,720,262
..Bantu,2120,559,685,337
..Mande,2950,619,820,373
..Fulani,1310,642,785,518
..Gur,170,261,130,198
"..Kru, Ibo, Yoruba",7535,889,1215,338
..Efik,65,47,(D),(D)
..Mbum (and related),(D),(D),(B),--
..African,845,363,225,126
.Other and unspecified languages,1230,247,455,156
..Finnish,175,64,(B),--
..Estonian,180,105,(D),(D)
..Other Uralic languages,(D),(D),(B),--
..Caucasian,390,155,210,103
..Syriac,70,68,45,63
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,70,53,70,53
..Arawakian,95,67,40,44
..Uncodable,210,95,70,50
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US42). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
