Table with column headers in row 5 and row headers in column A,,,,
Table 41. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for South Carolina:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,4381360,491,128257,3036
Speak only English at home,4081441,4001,(X),(X)
Speak a language other than English at home,299919,4050,128257,3036
SPANISH AND SPANISH CREOLE,195871,2714,93640,2489
..Spanish,195870,2714,93640,2489
OTHER INDO-EUROPEAN LANGUAGES,58517,2613,14487,1328
".French (incl. Patois, Cajun)",11208,1003,2207,385
..French,11035,987,2185,382
..Patois,150,87,20,24
..Cajun,(D),(D),(B),--
.French Creole,510,164,86,69
.Italian,2752,398,538,177
.Portuguese (incl. Portuguese Creole),3456,758,1479,509
..Portuguese,3455,758,1480,509
.German (incl. Luxembourgian),12662,894,1837,289
..German,12660,894,1835,289
.Yiddish,93,74,5,9
.Other West Germanic languages,1241,273,115,70
..Pennsylvania Dutch,140,133,(D),(D)
..Dutch,870,234,75,56
..Afrikaans,230,126,(D),(D)
.Scandinavian languages,922,261,39,35
..Swedish,475,209,20,20
..Danish,195,134,(D),(D)
..Norwegian,225,127,(B),--
..Icelandic,30,31,(B),--
.Greek,2252,458,561,199
.Russian,4307,702,1498,372
.Polish,1700,409,524,179
.Serbo-Croatian languages,713,380,34,38
..Serbocroatian,245,185,(D),(D)
..Croatian,130,117,(D),(D)
..Serbian,335,306,(D),(D)
.Other Slavic languages,3123,822,1338,462
..Bielorussian,155,177,55,63
..Ukrainian,1880,701,940,415
..Czech,355,162,85,82
..Slovak,140,79,65,47
..Bulgarian,445,307,165,144
..Macedonian,(D),(D),(B),--
..Slovene,90,78,(D),(D)
.Armenian,112,93,19,35
.Persian,762,295,387,168
.Hindi,2113,388,450,176
.Gujarati,4093,828,1282,383
.Urdu,1123,368,276,112
.Other Indic languages,2875,702,1070,368
..India n.e.c.3,710,354,245,133
..Bengali,670,378,190,188
..Panjabi,665,345,235,157
..Marathi,410,240,60,68
..Assamese,(D),(D),(B),--
..Nepali,270,224,265,223
..Sinhalese,125,86,75,66
..Romany,(D),(D),(B),--
.Other Indo-European languages,2500,615,742,381
..Jamaican Creole,320,308,210,292
..Krio,(D),(D),(B),--
