Table with column headers in row 5 and row headers in column A,,,,
Table 43. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Tennessee:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,5998956,708,168938,3389
Speak only English at home,5601411,4691,(X),(X)
Speak a language other than English at home,397545,4711,168938,3389
SPANISH AND SPANISH CREOLE,232394,3228,110114,2531
..Spanish,232395,3228,110115,2531
OTHER INDO-EUROPEAN LANGUAGES,73653,2636,18961,1495
".French (incl. Patois, Cajun)",11974,997,2641,414
..French,11750,989,2615,412
..Patois,130,160,(D),(D)
..Cajun,90,49,(D),(D)
.French Creole,1710,649,356,181
.Italian,2482,370,412,141
.Portuguese (incl. Portuguese Creole),2317,443,661,269
..Portuguese,2315,443,660,269
.German (incl. Luxembourgian),13920,1154,1872,331
..German,13920,1154,1870,331
.Yiddish,45,42,(B),--
.Other West Germanic languages,3117,670,378,183
..Pennsylvania Dutch,1170,540,195,164
..Dutch,1290,369,150,106
..Afrikaans,660,275,30,36
.Scandinavian languages,926,219,105,55
..Swedish,450,182,50,41
..Danish,125,82,(D),(D)
..Norwegian,255,120,(D),(D)
..Icelandic,95,71,25,40
.Greek,898,237,145,75
.Russian,4004,640,1392,354
.Polish,1294,274,438,151
.Serbo-Croatian languages,2490,498,917,282
..Serbocroatian,1715,449,770,275
..Croatian,320,145,40,43
..Serbian,455,213,110,96
.Other Slavic languages,1737,487,595,239
..Ukrainian,975,399,435,222
..Czech,435,293,75,78
..Slovak,155,121,(D),(D)
..Bulgarian,150,81,(D),(D)
..Macedonian,(D),(D),(B),--
..Slovene,15,17,(B),--
.Armenian,250,191,135,120
.Persian,2935,684,1109,463
.Hindi,5122,714,1233,371
.Gujarati,4454,814,1622,417
.Urdu,1712,535,337,151
.Other Indic languages,6682,978,2658,613
..India n.e.c.3,1470,501,785,331
..Bengali,1810,485,420,150
..Panjabi,800,264,260,137
..Marathi,875,343,120,89
..Assamese,45,52,(B),--
..Nepali,1185,466,930,420
..Sindhi,115,95,(D),(D)
..Pakistan n.e.c.3,255,322,(D),(D)
..Sinhalese,110,110,30,43
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,5584,780,1955,374
..Jamaican Creole,180,95,(D),(D)
..Krio,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,1555,481,570,207
..Welsh,(D),(D),(B),--
..Irish Gaelic,145,107,(B),--
..Scottic Gaelic,(D),(D),(D),(D)
..Albanian,335,218,205,164
..Lithuanian,90,107,(D),(D)
..Latvian,45,37,(B),--
..Pashto,105,99,(B),--
..Kurdish,3065,596,1135,272
ASIAN AND PACIFIC ISLAND LANGUAGES,59919,1857,27293,1310
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",13150,1424,6374,948
..Chinese,10770,1298,5360,906
..Cantonese,415,204,160,111
..Mandarin,1675,401,775,264
..Formosan,275,118,75,45
..Wu,(D),(D),(B),--
.Japanese,3845,566,1745,405
.Korean,8831,1207,4309,622
".Mon-Khmer, Cambodian",1364,504,582,215
.Hmong,208,99,64,43
.Thai,1445,365,635,188
.Laotian,5544,882,2502,458
.Vietnamese,10539,1304,6643,830
.Other Asian languages,7446,946,2282,483
..Uighur,130,187,130,187
..Azerbaijani,40,72,(D),(D)
..Turkish,640,338,240,168
..Mongolian,(D),(D),(B),--
..Gondi,25,38,(D),(D)
..Telugu,2560,569,475,188
..Kannada,555,239,65,50
..Malayalam,1355,391,320,178
..Tamil,1165,332,270,134
..Tibetan,70,70,(B),--
..Burmese,720,361,575,286
..Karen,165,209,165,209
.Tagalog,5921,910,1618,408
.Other Pacific Island languages,1626,371,539,225
..Indonesian,170,134,120,122
..Balinese,70,106,70,106
..Malay,240,103,110,66
..Bisayan,210,123,85,76
..Sebuano,145,81,50,52
..Ilocano,85,67,(D),(D)
..Pampangan,50,52,(D),(D)
..Micronesian,90,91,(B),--
..Chamorro,85,110,(D),(D)
..Palau,(D),(D),(D),(D)
..Trukese,105,125,(D),(D)
..Samoan,185,116,(D),(D)
..Tongan,(D),(D),(B),--
..Hawaiian,170,127,(B),--
ALL OTHER LANGUAGES,31579,2630,12570,1668
.Navajo,32,35,(B),--
.Other Native North American languages,804,211,69,44
..Blackfoot,35,64,(B),--
..Miami,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Shawnee,(D),(D),(B),--
..Apache,40,54,(B),--
..Walapai,(D),(D),(B),--
..Dakota,35,33,(D),(D)
..Choctaw,120,75,20,27
..Muskogee,20,28,(B),--
..Keres,(D),(D),(D),(D)
..Mohawk,15,21,(B),--
..Cayuga,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,300,105,30,23
..American Indian,135,90,(D),(D)
.Hungarian,512,216,126,97
.Arabic,16535,2081,7270,1019
.Hebrew,1042,263,121,90
.African languages,12044,1618,4783,1151
..Amharic,3610,1011,1995,822
..Chadic,(D),(D),(B),--
..Cushite,2105,648,915,350
..Sudanic,140,160,35,52
..Nilotic,590,356,120,128
..Nilo-Hamitic,30,151,(D),(D)
..Swahili,1015,345,310,162
..Bantu,1075,445,480,330
..Mande,305,167,85,75
..Fulani,715,360,485,284
"..Kru, Ibo, Yoruba",2290,631,345,138
..Efik,(D),(D),(B),--
..African,110,124,(D),(D)
.Other and unspecified languages,610,274,201,136
..Finnish,115,76,(B),--
..Estonian,(D),(D),(B),--
..Caucasian,125,150,(D),(D)
..Syriac,50,83,40,80
..Aztecan,(D),(D),(D),(D)
..Mayan languages,120,133,70,73
..Oto - Manguen,(D),(D),(D),(D)
..Uncodable,125,67,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US47). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
