Table with column headers in row 5 and row headers in column A,,,,
Table 44. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Texas:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,23704400,783,3374551,14695
Speak only English at home,15471149,15635,(X),(X)
Speak a language other than English at home,8233251,15504,3374551,14695
SPANISH AND SPANISH CREOLE,6983384,15508,2926515,13992
..Spanish,6983380,15508,2926515,13992
..Ladino,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,481755,7420,122003,3595
".French (incl. Patois, Cajun)",62487,2286,12728,947
..French,60730,2226,12410,916
..Patois,595,249,135,88
..Cajun,1165,237,185,83
.French Creole,6027,802,1611,426
.Italian,11386,1040,2316,405
.Portuguese (incl. Portuguese Creole),19762,1476,4929,753
..Portuguese,19695,1476,4920,754
..Papia Mentae,65,57,(D),(D)
.German (incl. Luxembourgian),69214,2338,11204,758
..German,69140,2340,11205,758
..Luxembourgian,75,84,(B),--
.Yiddish,231,104,16,20
.Other West Germanic languages,7628,899,621,165
..Pennsylvania Dutch,230,168,(D),(D)
..Dutch,5395,781,510,153
..Afrikaans,2000,404,100,79
.Scandinavian languages,6568,878,792,255
..Swedish,2900,442,160,70
..Danish,1535,431,250,168
..Norwegian,2010,466,345,166
..Icelandic,120,99,(D),(D)
.Greek,6615,751,1294,258
.Russian,20630,1726,6663,724
.Polish,8276,822,2124,386
.Serbo-Croatian languages,7897,1062,2526,466
..Serbocroatian,4530,775,1650,347
..Croatian,1175,401,340,170
..Serbian,2190,598,540,209
.Other Slavic languages,11300,1114,2313,398
..Ukrainian,1940,703,665,235
..Czech,6830,544,1020,189
..Slovak,420,192,110,65
..Bulgarian,1840,611,480,216
..Macedonian,130,98,(D),(D)
..Slovene,135,84,(D),(D)
.Armenian,1439,520,530,249
.Persian,26231,1864,10405,1156
.Hindi,59602,2942,12165,1266
.Gujarati,30317,2452,9748,1159
.Urdu,57662,3831,16515,1701
.Other Indic languages,53177,2586,18427,1568
..India n.e.c.3,5150,951,1450,380
..Bengali,16330,1618,5225,769
..Panjabi,7735,1202,2720,644
..Marathi,6290,1012,930,300
..Bihari,55,62,(D),(D)
..Rajasthani,195,280,4,19
..Oriya,400,247,65,71
..Assamese,120,98,(D),(D)
..Kashmiri,60,59,(B),--
..Nepali,11735,1260,6490,921
..Sindhi,850,315,185,135
..Pakistan n.e.c.3,1630,604,565,352
..Sinhalese,2560,570,730,325
..Romany,70,51,(B),--
.Other Indo-European languages,15306,1410,5076,802
..Jamaican Creole,445,166,30,35
..Krio,905,381,95,72
..Hawaiian Pidgin,(D),(D),(D),(D)
..Pidgin,230,149,135,138
..Gullah,25,28,(B),--
..Catalonian,165,107,30,34
..Romanian,6460,841,2005,394
..Welsh,120,57,(B),--
..Irish Gaelic,690,227,40,30
..Scottic Gaelic,65,73,(D),(D)
..Albanian,2935,927,1385,545
..Lithuanian,350,135,55,44
..Latvian,290,128,100,89
..Pashto,895,427,315,191
..Kurdish,1690,524,850,282
..Balochi,30,43,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,617042,5725,282167,4246
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",140871,3982,68469,2700
..Chinese,101890,3355,52130,2285
..Hakka,130,102,125,102
..Cantonese,10240,1075,4870,636
..Mandarin,23260,1750,8510,889
..Formosan,5310,672,2820,423
..Wu,40,53,(D),(D)
.Japanese,15675,1209,6572,634
.Korean,55794,2318,30366,1602
".Mon-Khmer, Cambodian",10153,1481,5776,943
.Hmong,768,290,311,182
.Thai,9871,955,4781,639
.Laotian,10999,1282,5741,915
.Vietnamese,193408,5443,113149,3551
.Other Asian languages,90466,3602,25693,1747
..Kazakh,105,117,50,63
..Kirghiz,85,84,(D),(D)
..Karachay,105,124,(D),(D)
..Uighur,210,156,(D),(D)
..Azerbaijani,195,156,130,115
..Turkish,7970,1063,2360,458
..Turkmen,75,91,(D),(D)
..Mongolian,90,82,65,74
..Tungus,45,54,(D),(D)
..Dravidian,15,21,(B),--
..Gondi,85,70,(D),(D)
..Telugu,26260,1847,5220,681
..Kannada,3840,723,460,196
..Malayalam,26130,2080,7180,899
..Tamil,16960,1621,3260,677
..Tibetan,120,107,45,54
..Burmese,5510,886,4715,781
..Karen,2630,767,2100,622
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,72248,2934,16791,1176
.Other Pacific Island languages,16789,1440,4518,720
..Indonesian,4375,769,1415,364
..Cham,(D),(D),(B),--
..Javanese,(D),(D),(D),(D)
..Malagasy,10,13,10,13
..Malay,1425,416,445,253
..Bisayan,1395,401,460,183
..Sebuano,1205,552,450,267
..Pangasinan,(D),(D),(B),--
..Ilocano,530,170,145,78
..Bikol,20,27,(D),(D)
..Pampangan,200,122,50,48
..Micronesian,275,245,(B),--
..Carolinian,125,151,(D),(D)
..Chamorro,1590,451,160,93
..Kusaiean,(D),(D),(B),--
..Marshallese,645,168,285,90
..Mokilese,(D),(D),(B),--
..Palau,435,229,180,130
..Ponapean,305,185,95,77
..Trukese,340,279,160,143
..Melanesian,75,73,(D),(D)
..Polynesian,(D),(D),(D),(D)
