Table with column headers in row 5 and row headers in column A,,,,
Table 45. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Utah:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,2554331,302,133359,3263
Speak only English at home,2187829,3995,(X),(X)
Speak a language other than English at home,366502,3974,133359,3263
SPANISH AND SPANISH CREOLE,245947,3330,97348,2729
..Spanish,245945,3330,97350,2729
OTHER INDO-EUROPEAN LANGUAGES,50295,1996,11549,849
".French (incl. Patois, Cajun)",6661,629,1004,225
..French,6645,630,1005,225
..Patois,(D),(D),(B),--
..Cajun,(D),(D),(B),--
.French Creole,407,230,83,92
.Italian,3064,701,411,148
.Portuguese (incl. Portuguese Creole),7151,748,1213,230
..Portuguese,7150,748,1215,230
.German (incl. Luxembourgian),9023,647,1208,251
..German,9025,647,1210,251
.Yiddish,3,5,(B),--
.Other West Germanic languages,2015,393,248,103
..Pennsylvania Dutch,95,127,(B),--
..Dutch,1735,372,225,102
..Afrikaans,170,81,(D),(D)
..Frisian,(D),(D),(D),(D)
.Scandinavian languages,2520,459,342,115
..Swedish,895,256,115,68
..Danish,800,315,90,59
..Norwegian,825,192,135,67
.Greek,1012,235,182,77
.Russian,4118,574,1275,262
.Polish,937,427,198,106
.Serbo-Croatian languages,3842,618,1711,303
..Serbocroatian,3030,582,1330,284
..Croatian,200,122,105,82
..Serbian,615,325,275,165
.Other Slavic languages,1272,405,308,154
..Ukrainian,205,99,105,67
..Czech,405,305,110,103
..Slovak,275,218,(B),--
..Bulgarian,360,155,85,65
..Slovene,30,27,(D),(D)
.Armenian,609,325,197,128
.Persian,1310,369,539,198
.Hindi,1127,307,193,111
.Gujarati,333,173,103,104
.Urdu,547,249,169,115
.Other Indic languages,3245,800,1756,529
..India n.e.c.3,110,93,(D),(D)
..Bengali,350,220,30,30
..Panjabi,590,261,240,127
..Marathi,155,101,(D),(D)
..Nepali,1985,678,1405,487
..Pakistan n.e.c.3,45,70,35,51
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,1099,269,409,179
..Jamaican Creole,30,42,(B),--
..Pidgin,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,470,173,120,90
..Irish Gaelic,40,32,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,215,176,120,118
