Table with column headers in row 5 and row headers in column A,,,,
Table 47. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Virginia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,7590865,644,424201,4425
Speak only English at home,6459988,7358,(X),(X)
Speak a language other than English at home,1130877,7271,424201,4425
SPANISH AND SPANISH CREOLE,506648,4052,218073,3454
..Spanish,506650,4052,218075,3454
OTHER INDO-EUROPEAN LANGUAGES,260085,5999,64890,2528
".French (incl. Patois, Cajun)",32361,1504,6856,667
..French,31915,1493,6765,669
..Patois,425,170,90,56
..Cajun,(D),(D),(B),--
.French Creole,5796,818,1282,327
.Italian,9830,1080,1806,341
.Portuguese (incl. Portuguese Creole),8439,836,2205,429
..Portuguese,8440,836,2205,429
.German (incl. Luxembourgian),31147,1601,4209,507
..German,31145,1601,4210,507
.Yiddish,250,99,(B),--
.Other West Germanic languages,3873,491,393,141
..Pennsylvania Dutch,390,268,25,27
..Dutch,2760,442,315,137
..Afrikaans,715,229,40,48
..Frisian,(D),(D),(D),(D)
.Scandinavian languages,3175,533,318,119
..Swedish,1135,271,155,81
..Danish,1075,350,80,62
..Norwegian,740,209,50,37
..Icelandic,215,127,30,36
..Faroese,(D),(D),(B),--
.Greek,7150,993,1748,405
.Russian,14668,1278,5056,704
.Polish,3514,593,547,188
.Serbo-Croatian languages,4552,784,1444,362
..Serbocroatian,2950,662,1025,304
..Croatian,530,190,190,103
..Serbian,1070,408,225,135
.Other Slavic languages,5407,724,1343,383
..Bielorussian,30,32,10,15
..Ukrainian,2035,520,550,208
..Czech,590,180,40,43
..Slovak,490,181,(D),(D)
..Bulgarian,1900,547,565,288
..Macedonian,275,243,130,140
..Slovene,85,70,25,31
.Armenian,1414,340,432,148
.Persian,24470,1923,8174,722
.Hindi,25121,1774,4391,705
.Gujarati,8670,1042,2826,527
.Urdu,25200,2440,7223,1025
.Other Indic languages,33009,2524,11226,1233
..India n.e.c.3,2025,629,425,258
..Bengali,11025,1682,4000,834
..Panjabi,8700,1426,2865,601
..Marathi,2730,543,205,113
..Bihari,60,57,(D),(D)
..Rajasthani,45,56,(D),(D)
..Oriya,180,108,(D),(D)
..Kashmiri,110,101,(B),--
..Nepali,6305,1103,3105,710
..Sindhi,155,118,(D),(D)
..Pakistan n.e.c.3,575,416,135,126
..Sinhalese,1100,400,415,213
.Other Indo-European languages,12039,1643,3411,650
..Jamaican Creole,495,200,60,47
..Krio,1315,422,390,247
..Pidgin,175,107,(D),(D)
..Catalonian,35,40,(D),(D)
..Romanian,3420,735,755,249
..Welsh,(D),(D),(B),--
..Irish Gaelic,200,80,30,28
..Scottic Gaelic,(D),(D),(B),--
