Table with column headers in row 5 and row headers in column A,,,,
Table 48. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Washington:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,6378045,328,500051,5477
Speak only English at home,5195196,8836,(X),(X)
Speak a language other than English at home,1182849,8774,500051,5477
SPANISH AND SPANISH CREOLE,521751,5449,232157,3812
..Spanish,521720,5446,232155,3812
..Ladino,30,32,(B),--
OTHER INDO-EUROPEAN LANGUAGES,242048,5642,76091,2982
".French (incl. Patois, Cajun)",22927,1311,3503,483
..French,22710,1301,3480,480
..Patois,170,147,(D),(D)
..Cajun,50,44,(D),(D)
.French Creole,767,246,322,149
.Italian,6624,741,1116,219
.Portuguese (incl. Portuguese Creole),5289,779,1264,407
..Portuguese,5290,779,1265,407
.German (incl. Luxembourgian),32474,1502,4304,506
..German,32475,1502,4305,506
.Yiddish,198,100,(B),--
.Other West Germanic languages,4036,598,619,164
..Pennsylvania Dutch,55,71,(B),--
..Dutch,3420,504,520,158
..Afrikaans,545,273,85,85
..Frisian,15,16,(D),(D)
.Scandinavian languages,8496,789,791,204
..Swedish,3475,583,185,73
..Danish,1240,386,100,68
..Norwegian,3390,422,510,165
..Icelandic,390,149,(B),--
.Greek,3015,577,714,225
.Russian,56537,2888,26219,1775
.Polish,4818,673,1396,301
.Serbo-Croatian languages,5259,878,1723,329
..Serbocroatian,3515,757,1245,284
..Croatian,1000,282,235,128
..Serbian,745,253,240,118
.Other Slavic languages,26622,2342,13711,1406
..Bielorussian,165,109,85,75
..Ukrainian,22710,2171,12555,1337
..Czech,1270,307,330,132
..Slovak,445,182,115,87
..Bulgarian,1915,440,565,212
..Macedonian,70,65,(D),(D)
..Slovene,45,48,30,42
.Armenian,1170,318,466,175
.Persian,8599,1029,3250,546
.Hindi,15528,1360,2784,431
.Gujarati,2552,571,488,210
.Urdu,3398,745,667,230
.Other Indic languages,21706,1985,8852,1031
..India n.e.c.3,435,261,110,81
..Bengali,1515,446,290,122
..Panjabi,14265,1690,6145,900
..Marathi,2135,527,445,235
..Oriya,220,196,70,83
..Assamese,35,42,(B),--
..Kashmiri,25,35,(D),(D)
..Nepali,2385,669,1575,502
..Sindhi,120,77,(D),(D)
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,390,199,80,56
..Romany,165,157,100,150
.Other Indo-European languages,12033,1512,3902,657
..Jamaican Creole,80,86,(D),(D)
..Krio,95,90,(D),(D)
..Pidgin,100,117,(B),--
..Catalonian,60,70,(B),--
..Romanian,8800,1468,3160,644
..Welsh,95,69,(D),(D)
..Irish Gaelic,505,172,80,49
..Scottic Gaelic,115,65,30,30
..Albanian,285,162,120,82
..Lithuanian,590,237,115,72
..Latvian,825,250,165,106
..Pashto,75,76,50,65
..Kurdish,410,284,140,93
ASIAN AND PACIFIC ISLAND LANGUAGES,355112,4293,166753,3118
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",81650,2491,42018,1812
..Chinese,52980,2225,27875,1356
..Hakka,(D),(D),(D),(D)
..Cantonese,12430,1331,6675,952
..Mandarin,13735,1117,6150,709
..Formosan,2465,540,1310,364
..Wu,(D),(D),(B),--
.Japanese,25418,1664,9321,714
.Korean,48065,2072,26826,1224
".Mon-Khmer, Cambodian",17187,1254,8875,947
.Hmong,2116,708,653,269
.Thai,5368,748,2611,534
.Laotian,7566,1194,3721,631
.Vietnamese,60094,2943,37261,1925
.Other Asian languages,24557,1813,7360,1127
..Kazakh,(D),(D),(B),--
..Uighur,150,196,125,182
..Azerbaijani,90,83,65,72
..Turkish,3330,847,1440,563
..Turkmen,60,54,35,36
..Mongolian,885,433,345,194
..Gondi,(D),(D),(B),--
..Telugu,6870,825,1680,407
..Kannada,1260,384,245,228
..Malayalam,2805,710,885,364
..Tamil,6350,782,1030,317
..Tibetan,330,199,210,149
..Burmese,890,455,530,326
..Karen,240,217,240,217
..Mien,1255,433,535,202
.Tagalog,54878,2525,18882,1291
.Other Pacific Island languages,28213,1644,9225,866
..Indonesian,3495,709,1640,485
..Cham,195,164,105,121
..Javanese,50,65,(B),--
..Malagasy,(D),(D),(B),--
..Malay,400,166,115,73
..Bisayan,1125,354,595,199
..Sebuano,620,214,220,111
..Pangasinan,140,91,(B),--
..Ilocano,3175,626,1355,380
..Bikol,150,153,(B),--
..Pampangan,220,132,55,53
..Micronesian,355,312,195,195
..Carolinian,65,73,25,31
..Chamorro,3630,592,585,200
..Kusaiean,230,237,(D),(D)
..Marshallese,2105,675,1025,376
..Palau,605,281,195,139
..Ponapean,80,54,45,44
..Trukese,775,381,270,137
..Melanesian,100,101,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,8800,1019,2145,347
..Tongan,855,338,260,163
..Tokelauan,(D),(D),(D),(D)
..Fijian,255,136,50,52
..Maori,145,211,90,135
..Hawaiian,545,173,140,131
ALL OTHER LANGUAGES,63938,2406,25050,1642
.Navajo,335,166,18,14
.Other Native North American languages,3832,565,321,102
..Aleut,(D),(D),(B),--
..Inupik,60,45,(D),(D)
..Yupik,55,41,(D),(D)
..Algonquian,45,48,(B),--
..Atsina,25,39,(B),--
..Blackfoot,50,50,(D),(D)
..Cheyenne,75,55,(D),(D)
..Cree,20,21,(B),--
..Ojibwa,50,39,(D),(D)
..Ottawa,(D),(D),(B),--
..Makah,115,84,45,71
..Kwakiutl,170,102,(D),(D)
..Nootka,(D),(D),(B),--
..Upper Chehalis,4,8,(D),(D)
..Clallam,145,94,(D),(D)
..Coeur d'Alene,25,34,(B),--
..Columbia,(D),(D),(B),--
..Salish,670,173,55,31
..Okanogan,25,27,(D),(D)
..Puget Sound Salish,135,59,(D),(D)
..Quinault,130,88,(D),(D)
..Twana,(D),(D),(D),(D)
..Athapascan,35,41,(B),--
..Hupa,(D),(D),(B),--
..Apache,60,63,(B),--
..Tlingit,30,39,(D),(D)
..Nomlaki,(D),(D),(D),(D)
..Santiam,(D),(D),(B),--
..Nez Perce,55,54,(B),--
..Sahaptian,815,378,100,52
..Upper Chinook,20,27,(D),(D)
..Pomo,(D),(D),(B),--
..Havasupai,(D),(D),(B),--
..Yuchi,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Mandan,(D),(D),(B),--
..Dakota,140,74,10,12
..Choctaw,100,72,(B),--
..Muskogee,70,103,(B),--
..Cherokee,160,92,(B),--
..Comanche,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,(D),(D),(B),--
..Tewa,(D),(D),(B),--
..Chinook Jargon,15,11,(B),--
..American Indian,250,104,15,17
..Kalispel,15,19,(B),--
.Hungarian,1410,318,423,122
.Arabic,12482,1364,5443,873
.Hebrew,2336,534,236,106
.African languages,40932,2244,17655,1437
..Amharic,15960,1740,7590,929
..Berber,60,87,(D),(D)
..Chadic,135,156,(B),--
..Cushite,13925,1471,6965,1037
..Sudanic,210,134,80,80
..Nilotic,100,150,(D),(D)
..Nilo-Saharan,(D),(D),(B),--
..Swahili,3630,871,1145,422
..Bantu,1930,645,545,325
..Mande,1430,558,470,280
..Fulani,960,495,265,163
"..Kru, Ibo, Yoruba",2455,540,495,242
..Efik,(D),(D),(B),--
..Mbum (and related),(D),(D),(D),(D)
..African,90,57,40,39
.Other and unspecified languages,2611,526,954,292
..Finnish,1145,232,210,108
..Estonian,280,129,60,71
..Caucasian,140,130,80,102
..Basque,(D),(D),(B),--
..Syriac,35,28,(D),(D)
..Mayan languages,395,445,230,254
..Oto - Manguen,325,197,285,161
..Chibchan,75,116,75,116
..Tupi-Guarani,(D),(D),(B),--
