Table with column headers in row 5 and row headers in column A,,,,
Table 50. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Wisconsin:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,Speak English less than "Very Well"1,Margin of Error2
.Population 5 years and over,5355576,398,174144,2884
Speak only English at home,4893195,4475,(X),(X)
Speak a language other than English at home,462381,4491,174144,2884
SPANISH AND SPANISH CREOLE,243560,3071,104734,2305
..Spanish,243560,3071,104735,2305
OTHER INDO-EUROPEAN LANGUAGES,113211,2782,27953,1274
".French (incl. Patois, Cajun)",12509,857,2013,261
..French,12380,859,1995,259
..Patois,130,73,20,24
.French Creole,254,118,3,5
.Italian,4940,501,1242,242
.Portuguese (incl. Portuguese Creole),1347,307,241,91
..Portuguese,1345,307,240,91
.German (incl. Luxembourgian),36443,1205,6941,456
..German,36400,1200,6940,456
..Luxembourgian,45,27,(D),(D)
.Yiddish,178,91,19,23
.Other West Germanic languages,10629,884,2668,296
..Pennsylvania Dutch,7205,726,1970,205
..Dutch,3040,332,695,158
..Afrikaans,370,241,(B),--
..Frisian,15,15,(B),--
.Scandinavian languages,3402,436,388,99
..Swedish,850,230,85,47
..Danish,450,161,45,32
..Norwegian,2035,268,255,71
..Icelandic,70,62,(B),--
.Greek,2372,450,644,237
.Russian,5758,721,2509,370
.Polish,6894,603,1733,276
.Serbo-Croatian languages,4915,727,1997,489
..Serbocroatian,1175,405,555,294
..Croatian,785,222,165,76
..Serbian,2955,558,1280,347
.Other Slavic languages,3240,422,959,229
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,840,291,300,135
..Czech,775,170,195,82
..Slovak,535,140,70,56
..Bulgarian,640,211,225,112
..Macedonian,120,71,40,33
..Slovene,320,118,120,65
.Armenian,257,116,22,25
.Persian,870,215,286,106
.Hindi,4831,622,907,261
.Gujarati,1521,469,621,232
.Urdu,3188,641,938,267
.Other Indic languages,4813,770,1902,524
..India n.e.c.3,310,195,110,67
..Bengali,710,205,155,77
..Panjabi,1730,470,685,253
..Marathi,585,231,130,81
..Oriya,30,40,(D),(D)
..Nepali,795,415,520,387
..Sindhi,160,178,70,107
..Pakistan n.e.c.3,290,215,155,118
..Sinhalese,195,164,70,72
.Other Indo-European languages,4850,806,1920,470
..Jamaican Creole,45,42,(B),--
..Krio,(D),(D),(B),--
..Pidgin,195,242,(D),(D)
..Catalonian,(D),(D),(B),--
..Romanian,710,204,170,98
..Welsh,(D),(D),(B),--
..Irish Gaelic,240,99,(D),(D)
..Albanian,2625,629,1460,441
..Lithuanian,380,118,160,78
..Latvian,555,135,80,37
..Pashto,65,72,(D),(D)
..Kurdish,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,86786,1865,36181,1286
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",14822,1146,7714,884
..Chinese,12130,974,6345,767
..Hakka,(D),(D),(B),--
"..Kan, Hsiang",(D),(D),(B),--
..Cantonese,770,260,420,200
..Mandarin,1685,363,840,271
..Formosan,220,103,115,76
.Japanese,1937,351,626,166
.Korean,4467,603,2439,412
".Mon-Khmer, Cambodian",822,359,375,251
.Hmong,40985,1758,16174,1094
.Thai,859,219,438,152
.Laotian,4733,1025,2194,478
.Vietnamese,3688,664,1873,407
.Other Asian languages,8524,910,2571,470
..Turkish,940,286,330,147
..Mongolian,65,61,35,41
..Dravidian,45,46,35,44
..Telugu,2615,502,460,228
..Kannada,515,210,125,95
..Malayalam,810,324,130,90
..Tamil,1910,457,295,154
..Tibetan,620,306,370,204
..Burmese,660,301,520,276
..Karen,340,176,260,137
..Mien,(D),(D),(D),(D)
.Tagalog,4866,596,1338,285
.Other Pacific Island languages,1083,239,439,125
..Indonesian,135,77,75,47
..Malagasy,(D),(D),(B),--
..Malay,170,87,100,70
..Bisayan,135,111,60,39
..Sebuano,195,114,105,71
..Ilocano,(D),(D),(D),(D)
..Chamorro,125,66,60,50
..Marshallese,(D),(D),(B),--
..Palau,(D),(D),(B),--
..Trukese,15,17,(D),(D)
..Melanesian,(D),(D),(D),(D)
..Polynesian,(D),(D),(B),--
..Samoan,100,104,(B),--
..Tongan,(D),(D),(D),(D)
..Maori,4,11,(B),--
..Hawaiian,85,56,(B),--
ALL OTHER LANGUAGES,18824,1493,5276,654
.Navajo,113,72,10,11
.Other Native North American languages,4359,470,561,265
..Inupik,(D),(D),(B),--
..Algonquian,180,252,145,211
..Blackfoot,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Delaware,(D),(D),(B),--
..Menomini,200,112,45,33
..French Cree,(D),(D),(B),--
..Ojibwa,1405,219,75,34
..Ottawa,(D),(D),(B),--
..Potawatomi,230,110,(D),(D)
..Shawnee,(D),(D),(B),--
..Haida,(D),(D),(D),(D)
..Kuchin,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Crow,10,10,(B),--
..Dakota,135,67,(B),--
..Winnebago,1225,241,140,59
..Choctaw,85,60,(D),(D)
..Muskogee,(D),(D),(D),(D)
..Iroquois,(D),(D),(B),--
..Oneida,590,188,60,57
..Cherokee,45,39,(B),--
..Ute,(D),(D),(B),--
..American Indian,115,46,(D),(D)
.Hungarian,544,136,155,65
.Arabic,6324,951,2400,448
.Hebrew,1077,305,172,156
.African languages,5432,747,1736,372
..Amharic,390,146,70,49
..Berber,35,57,(D),(D)
..Cushite,1490,477,715,230
..Sudanic,115,147,55,52
..Nilotic,(D),(D),(B),--
..Nilo-Saharan,15,30,10,17
..Swahili,515,190,190,167
..Bantu,185,101,50,49
..Mande,450,227,105,72
..Fulani,165,124,85,105
"..Kru, Ibo, Yoruba",1920,495,385,142
..Efik,90,94,(D),(D)
..African,35,40,35,40
.Other and unspecified languages,975,211,242,86
..Finnish,640,143,140,66
..Estonian,85,63,35,32
..Caucasian,(D),(D),(D),(D)
..Syriac,40,32,20,22
..Mayan languages,(D),(D),(B),--
..Oto - Manguen,55,65,35,38
..Arawakian,(D),(D),(D),(D)
..Chibchan,(D),(D),(B),--
..Uncodable,135,67,(B),--
,,,,
Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US55). Detailed-language estimates may not sum to aggregate estimates because of rounding.,,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
